id,batch,word,pos,ua,definitionUa,category,existing_rationale,proposal_state
SB-1270,3,verify,v.,перевірити,Щоб підтвердити або перевірити правдивість або точність чогось.,grammar-calque,The definition begins with the purpose-clause calque 'Щоб підтвердити' instead of an infinitive definition.,absent
SB-1275,3,viable,adj.,життєздатний,"Можна зробити, можливо, практично, здійсненно.",grammar-syntax,"'Можна зробити, можливо, практично, здійсненно' mixes incompatible forms and is not a grammatical definition.",absent
SB-1335,3,established,word family,встановлений; усталений,"Існуючи протягом тривалого часу, тому визнаний і загальновизнаний.",pos-morphology,Established is defined with the adverbial participle 'Існуючи' rather than an adjectival/participial construction.,absent
SB-1495,3,conference,word family,конференції,"Офіційний захід, на якому науковці презентують результати своїх досліджень у промовах, семінарах, плакатах або іншими засобами.",pos-morphology,"Singular conference is translated with 'конференції', not nominative singular 'конференція'.",absent
SB-1523,3,phase,word family,фаза,"Визначна частина послідовності або циклу, що відбувається з часом.",semantic-pedagogical,"'Визначна частина' means a notable/prominent part, not a distinct stage or phase.",absent
SB-1570,3,perspective,word family,перспектива,"Вибір єдиного ракурсу або точки зору, з якої можна відчути, класифікувати, виміряти або кодифікувати досвід.",semantic-pedagogical,Perspective is incorrectly reduced to the choice of one angle rather than a viewpoint or way of understanding.,absent
SB-1585,3,abstract,word family,анотація,Скорочення або підсумок більшої публікації.,semantic-pedagogical,"Academic abstract is defined with 'Скорочення' (abbreviation/shortening), not a concise summary; the wording misleads.",absent
SB-1590,3,attached,word family,додається,Підключений; приєднався.,pos-morphology,Attached is rendered with impersonal/present 'додається' and then mixed adjective/past-verb forms 'Підключений; приєднався'.,absent
SB-1630,3,adults,word family,дорослі,"Особа, яка досягла повноліття.",pos-morphology,Plural adults/дорослі is defined with singular 'Особа'.,absent
SB-1668,3,submitted,word family,подано,"Внести або винести на затвердження, розгляд, відмітку тощо.",pos-morphology,Submitted is rendered as impersonal 'подано' but defined by active infinitives 'Внести або винести'.,absent
SB-1747,3,norms,word family,норми,"Те, що є нормальним або типовим.",pos-morphology,"Plural norms/норми is defined with singular 'Те, що є нормальним', losing the plural social-standard sense.",absent
