id,word,pos,ua,definitionUa,source_stage,final_disposition,category,confidence,provenance,proposal_state,proposed_target,proposed_value
SB-0001,abolish,v.,скасувати,"Припинення закону, системи, установи, звичаю чи практики.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0003,absence,n.,відсутність,Стан віддаленості або відстороненості від місця чи спілкування,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0006,abundance,n.,достаток,Велика кількість; багато.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0008,academy,n.,академія,Вищий навчальний заклад; коледж або університет; зазвичай приватна школа.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0009,accelerate,v.,прискорити,Змусити рухатися швидше; прискорити рух; щоб збільшити швидкість.,part1-floor,P1,grammar-calque-fragment,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,Змусити рухатися швидше; збільшити швидкість.
SB-0010,acceptance,n.,прийняття,"Акт приймання; отримання чогось запропонованого з мовчазною згодою, схваленням або задоволенням; особливо, сприятливий прийом; затвердження.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0012,accomplishment,n.,досягнення,Щось досягнуте; досягнення.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0014,accordingly,adv.,відповідно,У природній послідовності; отже; так.,part1-floor,P1,semantic-pedagogical-error,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,Відповідним чином; отже; таким чином.
SB-0015,accountability,n.,підзвітність,Стан підзвітності; зобов'язання викликати звіт або дати пояснення; зобов'язання нести відповідальність або відповідати за щось.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Обов’язок пояснювати свої дії та нести за них відповідальність.
SB-0016,accountable,adj.,підзвітний,"Зобов'язаний, коли його покличуть, відповідати (за свої вчинки); відповідальний.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0018,accumulation,n.,накопичення,"Акт накопичення або збору, як у купу.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0019,accusation,n.,звинувачення,Акт обвинувачення.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0020,accused,n.,обвинувачений,"Особа, яка обвинувачується у вчиненні правопорушення; фігурант кримінальної справи.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0022,acquisition,n.,придбання,Акт або процес придбання.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0023,acre,n.,акр,"Англійська одиниця площі землі (символ: a. або ac.), яка спочатку позначала денну оранку за ярмо волів, тепер стандартизована як 4840 квадратних ярдів або 4046,86 квадратних метрів.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0024,activation,n.,активація,Робити активними та ефективними; приведення в стан активності.,part1-floor,P1,pos-morphology-mismatch,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,Процес приведення в активний стан; уведення в дію.
SB-0025,activist,n.,активіст,"Той, хто є політично активним у ролі громадянина; особливо той, хто бореться за зміни.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0026,acute,adj.,гострий,інтенсивний; чутливий; різкий.,r2-reconciliation,P2,ui-formatting,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Інтенсивний; чутливий; різкий.
SB-0027,adaptation,n.,адаптація,"Процес адаптації чогось або пристосування до ситуації; коригування, модифікація.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0030,adjustment,n.,коригування,Дія регулювання чогось,r2-reconciliation,P2,ui-formatting,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Дія регулювання або незначної зміни чогось.
SB-0033,administrator,n.,адміністратор,"Той, хто веде справи; той, хто скеровує, керує, виконує або розпоряджається, чи то в цивільних, судових, політичних чи церковних справах; менеджер.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0035,adolescent,n.,підліток,"Людина, яка перебуває в підлітковому віці; хтось, хто досяг статевої зрілості, але ще не дорослий.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0036,adoption,n.,усиновлення,Стан усиновлення; прийняття дитини інших батьків як власної дитини.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0039,aesthetic,adj.,естетичний,"Стурбований красою, художнім ефектом або зовнішнім виглядом.",r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Пов’язаний із красою, мистецтвом або привабливим зовнішнім виглядом."
SB-0040,affection,n.,прихильність,Почуття любові або сильної прихильності.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0041,aftermath,n.,наслідки (переважно негативні),"Те, що відбувається після, те, що слідує, зазвичай має яскраво негативний відтінок у більшості контекстів, натякаючи на попередню катастрофу.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0042,aggression,n.,агресія,Ворожа чи деструктивна поведінка чи дії.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0043,agricultural,adj.,сільськогосподарський,Сільське господарство або пов'язане з ним.,part1-floor,P1,pos-morphology,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0045,albeit,conj.,хоча,"Сполучник зі значенням «хоча» або «незважаючи на те, що».",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0047,alien,adj.,чужий,"Не належать до тієї самої країни, землі чи уряду, чи до їхніх громадян чи підданих; іноземні.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що належить іншій країні або є чужим для певного середовища."
SB-0048,align,v.,вирівняти,Підлаштовуватися під лінію; діапазон або форму в лінію; привести у відповідність.,r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,both,ua: вирівнювати; узгоджувати | definitionUa: Розташовувати по прямій лінії або приводити у відповідність.
SB-0053,allegedly,adv.,нібито,За чиїмось твердженням.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
