stable_id,word,field,category,severity,original_text,correction,rationale,confidence,discovery_source,discovery_date,disposition
SB-0013,accordance,definitionUa,other,P1,Договір; гармонія; відповідність; відповідність.,Договір; гармонія; відповідність.,Adjacent/punctuation-separated identical-word duplication removed (repeated: відповідність).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0029,adjacent,definitionUa,other,P1,"Лежать поруч, поруч або поруч; сусідні; межує з.",Лежать поруч; сусідні; межує з.,Adjacent/punctuation-separated identical-word duplication removed (repeated: поруч). Connector-separated remnant in the same field also cleaned.,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0157,burial,definitionUa,other,P1,Акт поховання; поховання; поміщення останків у землю.,Акт поховання; поміщення останків у землю.,Adjacent/punctuation-separated identical-word duplication removed (repeated: поховання).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0226,complexity,definitionUa,other,P1,Комплексний стан; заплутаність; заплутаність.,Комплексний стан; заплутаність.,Adjacent/punctuation-separated identical-word duplication removed (repeated: заплутаність).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0322,damaging,definitionUa,other,P1,"Заподіяння шкоди; шкідливий, шкідливий.",Заподіяння шкоди; шкідливий.,Adjacent/punctuation-separated identical-word duplication removed (repeated: шкідливий).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0327,decisive,definitionUa,other,P1,Володіння владою або якістю вирішення питання чи суперечки; припинення змагань чи суперечок; остаточний; остаточний.,Володіння владою або якістю вирішення питання чи суперечки; припинення змагань чи суперечок; остаточний.,Adjacent/punctuation-separated identical-word duplication removed (repeated: остаточний).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0356,designate,definitionUa,other,P1,Визначити і зробити відомим; вказувати; вказувати; показувати; розрізняти за ознаками або описом,Визначити і зробити відомим; вказувати; показувати; розрізняти за ознаками або описом,Adjacent/punctuation-separated identical-word duplication removed (repeated: вказувати).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0357,desirable,definitionUa,other,P1,"Вартий того, щоб бути бажаним; приємний; приємний.","Вартий того, щоб бути бажаним; приємний.",Adjacent/punctuation-separated identical-word duplication removed (repeated: приємний).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0420,ease,definitionUa,other,P1,"Звільняти (щось) від болю, хвилювання, хвилювання і т. ін.","Звільняти (щось) від болю, хвилювання і т. ін.",Adjacent/punctuation-separated identical-word duplication removed (repeated: хвилювання).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0484,expenditure,definitionUa,other,P1,Витрачена сума; витрати; витрати.,Витрачена сума; витрати.,Adjacent/punctuation-separated identical-word duplication removed (repeated: витрати).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
SB-0510,fixture,definitionUa,other,P1,"Щось закріплене на місці, особливо постійний прилад або інший предмет особистої власності, який вважається частиною будинку та продається разом з ним; порівняти оздоблення, оздоблення.","Щось закріплене на місці, особливо постійний прилад або інший предмет особистої власності, який вважається частиною будинку та продається разом з ним; порівняти оздоблення.",Adjacent/punctuation-separated identical-word duplication removed (repeated: оздоблення).,high,T5-B full-bank definitionUa repeat scan (adjacent+punctuation-separated),2026-09-10,corrected
