chunk,seq,id,pass_a_disposition,pass_b_disposition
1,0,SB-0152,P1,clean-candidate
1,1,SB-0806,P2,clean-candidate
1,2,SB-1374,P1,clean-candidate
1,3,SB-1075,P2,clean-candidate
1,4,SB-0063,P1,clean-candidate
1,5,SB-0917,P1,P2
1,6,SB-1768,P2,clean-candidate
1,7,SB-0761,P1,clean-candidate
1,8,SB-1162,P2,clean-candidate
1,9,SB-1521,P1,clean-candidate
1,10,SB-1141,P1,clean-candidate
1,11,SB-1241,P2,clean-candidate
1,12,SB-1457,P1,clean-candidate
1,13,SB-0748,P1,clean-candidate
1,14,SB-1424,P1,clean-candidate
1,15,SB-1166,P1,clean-candidate
1,16,SB-0088,P1,clean-candidate
1,17,SB-0906,P2,clean-candidate
1,18,SB-0126,P2,clean-candidate
1,19,SB-0196,P2,clean-candidate
1,20,SB-1085,P1,clean-candidate
1,21,SB-1462,P1,clean-candidate
1,22,SB-0485,P1,clean-candidate
1,23,SB-0472,P2,clean-candidate
1,24,SB-0162,P2,clean-candidate
1,25,SB-1709,P1,clean-candidate
1,26,SB-0129,P1,clean-candidate
1,27,SB-0581,P1,clean-candidate
1,28,SB-1633,P1,clean-candidate
1,29,SB-1058,P1,clean-candidate
1,30,SB-0438,P2,clean-candidate
1,31,SB-1065,P1,clean-candidate
1,32,SB-1394,P1,clean-candidate
1,33,SB-1530,P1,clean-candidate
1,34,SB-1715,P2,clean-candidate
1,35,SB-0981,P2,clean-candidate
1,36,SB-1352,P1,clean-candidate
1,37,SB-0754,P2,clean-candidate
1,38,SB-1340,P1,clean-candidate
1,39,SB-1442,P2,clean-candidate
1,40,SB-1152,P2,clean-candidate
1,41,SB-1089,P2,clean-candidate
1,42,SB-1771,P1,P2
1,43,SB-0852,P2,clean-candidate
1,44,SB-0190,P2,clean-candidate
1,45,SB-1559,P1,clean-candidate
1,46,SB-0794,P1,clean-candidate
1,47,SB-1092,P1,clean-candidate
1,48,SB-0764,P1,clean-candidate
1,49,SB-0494,P1,clean-candidate
1,50,SB-0092,P1,clean-candidate
1,51,SB-0060,P1,clean-candidate
1,52,SB-0475,P1,clean-candidate
1,53,SB-0500,P1,clean-candidate
1,54,SB-0353,P1,clean-candidate
1,55,SB-1558,P1,clean-candidate
1,56,SB-0664,P2,clean-candidate
1,57,SB-0695,P1,clean-candidate
1,58,SB-1415,P1,clean-candidate
1,59,SB-1665,P1,clean-candidate
1,60,SB-1692,P1,clean-candidate
1,61,SB-1511,P1,clean-candidate
1,62,SB-1509,P1,clean-candidate
1,63,SB-1252,P1,clean-candidate
1,64,SB-1669,P1,clean-candidate
1,65,SB-0892,P2,clean-candidate
1,66,SB-1203,P1,clean-candidate
1,67,SB-1721,P1,clean-candidate
1,68,SB-1236,P2,clean-candidate
1,69,SB-1087,P1,clean-candidate
1,70,SB-0257,P1,clean-candidate
1,71,SB-0400,P2,clean-candidate
1,72,SB-0539,P1,clean-candidate
1,73,SB-0437,P1,P2
1,74,SB-1371,P1,P2
1,75,SB-0883,P1,clean-candidate
1,76,SB-1235,P1,clean-candidate
1,77,SB-1119,P1,clean-candidate
1,78,SB-0649,P2,clean-candidate
1,79,SB-1377,P1,clean-candidate
1,80,SB-1491,P2,clean-candidate
1,81,SB-1414,P2,clean-candidate
1,82,SB-0545,P1,clean-candidate
1,83,SB-1552,P1,clean-candidate
1,84,SB-0911,P1,clean-candidate
1,85,SB-1697,P1,clean-candidate
1,86,SB-0592,P2,clean-candidate
1,87,SB-0700,P2,clean-candidate
1,88,SB-0165,P2,clean-candidate
1,89,SB-0910,P2,clean-candidate
1,90,SB-0366,P2,clean-candidate
1,91,SB-0588,P1,clean-candidate
1,92,SB-0518,P1,clean-candidate
1,93,SB-1730,P2,clean-candidate
1,94,SB-1476,P2,clean-candidate
1,95,SB-1575,P2,clean-candidate
1,96,SB-0769,P2,clean-candidate
1,97,SB-0471,P1,clean-candidate
1,98,SB-0276,P1,clean-candidate
1,99,SB-1724,P1,clean-candidate
1,100,SB-0936,P2,clean-candidate
1,101,SB-0359,P2,clean-candidate
1,102,SB-0620,P2,clean-candidate
1,103,SB-0842,P2,clean-candidate
1,104,SB-0799,P1,clean-candidate
1,105,SB-0205,P1,clean-candidate
1,106,SB-1410,P2,clean-candidate
1,107,SB-1557,P1,clean-candidate
1,108,SB-0442,P2,clean-candidate
2,109,SB-0693,P2,clean-candidate
2,110,SB-0736,P2,clean-candidate
2,111,SB-1124,clean-candidate,P2
2,112,SB-0537,P1,clean-candidate
2,113,SB-1068,P1,clean-candidate
2,114,SB-0956,P1,clean-candidate
2,115,SB-0925,P2,clean-candidate
2,116,SB-0977,P1,clean-candidate
2,117,SB-0694,P1,clean-candidate
2,118,SB-0199,P1,clean-candidate
2,119,SB-1760,P1,clean-candidate
2,120,SB-0963,P1,clean-candidate
2,121,SB-0015,P1,clean-candidate
2,122,SB-0187,P2,clean-candidate
2,123,SB-1680,P2,clean-candidate
2,124,SB-0098,P2,clean-candidate
2,125,SB-1229,P2,clean-candidate
2,126,SB-0999,P1,clean-candidate
2,127,SB-1455,P2,clean-candidate
2,128,SB-1573,P2,clean-candidate
2,129,SB-0944,P1,clean-candidate
2,130,SB-1565,P2,P2
2,131,SB-1752,P1,clean-candidate
2,132,SB-1532,P2,clean-candidate
2,133,SB-0775,P2,clean-candidate
2,134,SB-0765,P2,clean-candidate
2,135,SB-1009,P1,clean-candidate
2,136,SB-1617,P1,clean-candidate
2,137,SB-0542,P2,clean-candidate
2,138,SB-1418,P2,clean-candidate
2,139,SB-1118,P1,clean-candidate
2,140,SB-0642,P2,clean-candidate
2,141,SB-0782,P1,clean-candidate
2,142,SB-1191,P2,clean-candidate
2,143,SB-1638,P1,clean-candidate
2,144,SB-1663,P2,clean-candidate
2,145,SB-0827,P2,clean-candidate
2,146,SB-0118,P1,P2
2,147,SB-1513,P2,clean-candidate
2,148,SB-1690,P1,clean-candidate
2,149,SB-1452,P1,P2
2,150,SB-0069,P1,clean-candidate
2,151,SB-0310,P2,clean-candidate
2,152,SB-1487,P2,clean-candidate
2,153,SB-0081,P1,clean-candidate
2,154,SB-0914,P1,clean-candidate
2,155,SB-1175,P2,P2
2,156,SB-0573,P1,clean-candidate
2,157,SB-0872,P2,clean-candidate
2,158,SB-1518,P1,clean-candidate
2,159,SB-0156,P1,clean-candidate
2,160,SB-1400,P2,clean-candidate
2,161,SB-1312,P2,clean-candidate
2,162,SB-0965,P1,clean-candidate
2,163,SB-0895,P2,clean-candidate
2,164,SB-1753,P1,P2
2,165,SB-1484,P1,clean-candidate
2,166,SB-1503,P2,clean-candidate
2,167,SB-0789,P1,clean-candidate
2,168,SB-1010,P1,clean-candidate
2,169,SB-0271,P1,clean-candidate
2,170,SB-1769,P1,clean-candidate
2,171,SB-1524,P1,P2
2,172,SB-0823,P2,clean-candidate
2,173,SB-1465,P1,clean-candidate
2,174,SB-0360,P1,clean-candidate
2,175,SB-1482,P1,clean-candidate
2,176,SB-0172,P1,clean-candidate
2,177,SB-0636,P1,clean-candidate
2,178,SB-0860,P1,P2
2,179,SB-1176,P2,clean-candidate
2,180,SB-1637,P2,clean-candidate
2,181,SB-0445,P2,clean-candidate
2,182,SB-0987,P1,clean-candidate
2,183,SB-1480,P1,clean-candidate
2,184,SB-1099,P1,clean-candidate
2,185,SB-1341,P1,clean-candidate
2,186,SB-1026,P2,clean-candidate
2,187,SB-1137,P2,P2
2,188,SB-0634,P1,clean-candidate
2,189,SB-1738,P1,clean-candidate
2,190,SB-1338,P1,clean-candidate
2,191,SB-1688,P2,clean-candidate
2,192,SB-0385,P1,clean-candidate
2,193,SB-0430,P1,clean-candidate
2,194,SB-1273,P2,clean-candidate
2,195,SB-1510,P1,clean-candidate
2,196,SB-1339,P1,clean-candidate
2,197,SB-1479,P1,clean-candidate
2,198,SB-1463,P2,clean-candidate
2,199,SB-1733,P1,clean-candidate
2,200,SB-0533,P2,clean-candidate
2,201,SB-0547,P1,clean-candidate
2,202,SB-0658,P1,clean-candidate
2,203,SB-0853,P2,clean-candidate
2,204,SB-0972,P2,clean-candidate
2,205,SB-1096,P1,clean-candidate
2,206,SB-1246,P1,clean-candidate
2,207,SB-0039,P1,clean-candidate
2,208,SB-1184,P1,clean-candidate
2,209,SB-1677,P1,clean-candidate
2,210,SB-0943,P1,clean-candidate
2,211,SB-0047,P1,clean-candidate
2,212,SB-0871,P1,clean-candidate
2,213,SB-1783,P2,clean-candidate
2,214,SB-0622,P2,clean-candidate
2,215,SB-1431,P1,clean-candidate
2,216,SB-0446,P1,clean-candidate
2,217,SB-0740,P1,clean-candidate
3,218,SB-1560,P1,clean-candidate
3,219,SB-0623,P2,clean-candidate
3,220,SB-1750,P1,clean-candidate
3,221,SB-1373,P2,clean-candidate
3,222,SB-1025,P2,clean-candidate
3,223,SB-1200,P1,clean-candidate
3,224,SB-0492,P2,clean-candidate
3,225,SB-1432,P1,clean-candidate
3,226,SB-1037,P1,clean-candidate
3,227,SB-0377,P2,clean-candidate
3,228,SB-1073,P2,clean-candidate
3,229,SB-1384,P2,clean-candidate
3,230,SB-1627,P2,P2
3,231,SB-0519,P1,clean-candidate
3,232,SB-1653,P1,clean-candidate
3,233,SB-0993,P1,clean-candidate
3,234,SB-1522,P1,clean-candidate
3,235,SB-0134,P1,clean-candidate
3,236,SB-0567,P1,clean-candidate
3,237,SB-1293,P1,clean-candidate
3,238,SB-0865,P1,P2
3,239,SB-0122,P1,P2
3,240,SB-0313,P1,clean-candidate
3,241,SB-1650,P1,clean-candidate
3,242,SB-0790,P1,clean-candidate
3,243,SB-1661,P1,clean-candidate
3,244,SB-1129,P1,clean-candidate
3,245,SB-0644,P2,clean-candidate
3,246,SB-1245,P1,clean-candidate
3,247,SB-1759,P1,clean-candidate
3,248,SB-1094,P1,clean-candidate
3,249,SB-0508,P2,clean-candidate
3,250,SB-0215,P1,clean-candidate
3,251,SB-0654,P2,clean-candidate
3,252,SB-0285,P1,clean-candidate
3,253,SB-0099,P1,P2
3,254,SB-1469,P1,clean-candidate
3,255,SB-1108,P1,clean-candidate
3,256,SB-0217,P1,clean-candidate
3,257,SB-1594,P1,clean-candidate
3,258,SB-1613,P1,clean-candidate
3,259,SB-0435,P1,clean-candidate
3,260,SB-0639,P1,clean-candidate
3,261,SB-0107,P2,clean-candidate
3,262,SB-1345,P1,P2
3,263,SB-1525,P1,clean-candidate
3,264,SB-0599,P1,clean-candidate
3,265,SB-0966,P1,clean-candidate
3,266,SB-0136,P2,clean-candidate
3,267,SB-0602,P1,clean-candidate
