id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-1368,source,word family,джерело,"Особа, місце або предмет, звідки щось (інформація, товари тощо) надходить або отримується.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1369,specific,word family,конкретний; специфічний,Явний або певний.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1370,structure,word family,структура; структурувати,"Згуртоване ціле, що складається з окремих частин.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1371,theory,word family,теорія,"Послідовне твердження або набір ідей, які пояснюють спостережувані факти чи явища та правильно передбачають нові факти чи явища, які раніше не спостерігалися, або які встановлюють закони та принципи чогось відомого чи спос...",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,P1,ui-truncation,high,The learner-facing theory definition is physically truncated at 225 characters («...спос...»).,definitionUa,"Система взаємопов’язаних ідей, що пояснює факти або явища й дає змогу робити перевірні передбачення."
SB-1373,achieve,word family,досягти,Успішно виконувати; виконати.,PASS,PASS,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,aspect-alignment,medium,The definition mixes imperfective and perfective near-synonyms without clarifying achieve.,definitionUa,Успішно досягти мети або виконати складне завдання.
SB-1374,administration,word family,адміністрування,Акт адміністрування; управління громадськими справами; надані послуги або взяті на себе обов'язки у веденні справ; ведення будь-якої посади чи роботи; напрямок.,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,The final «напрямок» is a false rendering of direction as management and breaks the administration sense.,definitionUa,"Процес управління установою чи справами; також орган або посадовці, які здійснюють таке управління."
SB-1375,affect,word family,впливати,Впливати або змінювати.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1377,aspects,word family,аспекти,"Будь-яка конкретна особливість, частина або елемент чогось.",PASS,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,P1,number-agreement,high,Plural headword aspects is defined with singular «Будь-яка ... особливість».,definitionUa,"Окремі особливості, частини або сторони чогось."
SB-1379,categories,word family,категорії,"Групи, до яких об’єднують речі з подібними властивостями.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1380,chapter,word family,розділ,"Один із основних розділів, на який поділяється опублікований твір, особливо книга.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
