id,batch,word,pos,ua,definitionUa,category,existing_rationale,evidence_quote,proposed_ua,proposed_definitionUa,rationale,confidence,answer_kind
SB-1270,3,verify,v.,перевірити,Щоб підтвердити або перевірити правдивість або точність чогось.,grammar-calque,The definition begins with the purpose-clause calque 'Щоб підтвердити' instead of an infinitive definition.,Щоб підтвердити,,Підтвердити або перевірити правдивість або точність чогось.,The recorded defect is the purpose-clause calque introduced by Щоб. Remove only that purpose marker and preserve the remaining semantic content as an infinitive dictionary definition. Do not rewrite the accepted gloss перевірити.,high,correction
SB-1275,3,viable,adj.,життєздатний,"Можна зробити, можливо, практично, здійсненно.",grammar-syntax,"'Можна зробити, можливо, практично, здійсненно' mixes incompatible forms and is not a grammatical definition.","Можна зробити, можливо, практично, здійсненно",,"Такий, що можна здійснити на практиці; здійсненний.","The frozen definition mixes a modal clause, adverb, and adjective forms in one ungrammatical sequence. Recast it as one coherent adjectival definition preserving the intended feasibility/practical-achievability sense. Leave ua=життєздатний unchanged because the recorded defect targets the definition’s syntax/form, not the gloss.",medium,correction
SB-1335,3,established,word family,встановлений; усталений,"Існуючи протягом тривалого часу, тому визнаний і загальновизнаний.",pos-morphology,Established is defined with the adverbial participle 'Існуючи' rather than an adjectival/participial construction.,Існуючи,,"Такий, що існує протягом тривалого часу, тому визнаний і загальновизнаний.","The recorded defect is the adverbial participle Існуючи, which does not define the adjective/participle established. Replace only that opening with an adjectival Такий, що існує construction and preserve the remainder verbatim, including its existing redundancy, because that redundancy was not the recorded defect.",high,correction
SB-1495,3,conference,word family,конференції,"Офіційний захід, на якому науковці презентують результати своїх досліджень у промовах, семінарах, плакатах або іншими засобами.",pos-morphology,"Singular conference is translated with 'конференції', not nominative singular 'конференція'.",конференції,конференція,,The English headword is singular and the current Ukrainian gloss is the genitive/nominative-plural form конференції. Replace only the gloss with nominative singular конференція; the definition is already singular and remains untouched.,high,correction
SB-1523,3,phase,word family,фаза,"Визначна частина послідовності або циклу, що відбувається з часом.",semantic-pedagogical,"'Визначна частина' means a notable/prominent part, not a distinct stage or phase.",Визначна частина,,"Окрема частина послідовності або циклу, що відбувається з часом.","Визначна means notable/prominent and does not express a distinct stage. Replace only Визначна with Окрема, preserving the rest of the frozen definition.",high,correction
SB-1570,3,perspective,word family,перспектива,"Вибір єдиного ракурсу або точки зору, з якої можна відчути, класифікувати, виміряти або кодифікувати досвід.",semantic-pedagogical,Perspective is incorrectly reduced to the choice of one angle rather than a viewpoint or way of understanding.,Вибір єдиного ракурсу або точки зору,,"Ракурс або точка зору, з якої можна відчути, класифікувати, виміряти або кодифікувати досвід.","The recorded defect is the false restriction of perspective to the choice of one angle/viewpoint. Remove only Вибір єдиного, leaving the remainder of the frozen definition intact. Do not opportunistically rewrite the later verbs because they were not part of the recorded defect.",high,correction
SB-1585,3,abstract,word family,анотація,Скорочення або підсумок більшої публікації.,semantic-pedagogical,"Academic abstract is defined with 'Скорочення' (abbreviation/shortening), not a concise summary; the wording misleads.",Скорочення,,Короткий виклад або підсумок більшої публікації.,Скорочення denotes abbreviation/shortening and is misleading for an academic abstract. Replace only that noun with Короткий виклад; preserve або підсумок більшої публікації.,high,correction
SB-1590,3,attached,word family,додається,Підключений; приєднався.,pos-morphology,Attached is rendered with impersonal/present 'додається' and then mixed adjective/past-verb forms 'Підключений; приєднався'.,додається,прикріплений; приєднаний,Прикріплений або приєднаний до чогось.,"This is the approved genuine two-field case. The frozen ua=додається is an impersonal/present-reflexive form, while the definition mixes adjective Підключений with finite past приєднався. Both learner-facing fields participate in the accepted POS/morphology defect. Normalize both to participial/adjectival forms matching attached. This row is the reason the explicit proposed_ua / proposed_definitionUa schema was approved.",medium,correction
SB-1630,3,adults,word family,дорослі,"Особа, яка досягла повноліття.",pos-morphology,Plural adults/дорослі is defined with singular 'Особа'.,"Особа, яка",,"Особи, які досягли повноліття.","The entry and gloss are plural while the definition is singular. Change only the singular noun/pronoun agreement to plural Особи, які; preserve досягли повноліття.",high,correction
SB-1668,3,submitted,word family,подано,"Внести або винести на затвердження, розгляд, відмітку тощо.",pos-morphology,Submitted is rendered as impersonal 'подано' but defined by active infinitives 'Внести або винести'.,Внести або винести,,"Внесено або винесено на затвердження, розгляд, відмітку тощо.","The accepted gloss подано is an impersonal result form while the frozen definition uses active infinitives. Convert only the two leading infinitives to the corresponding impersonal result forms Внесено або винесено, preserving the remainder.",high,correction
SB-1747,3,norms,word family,норми,"Те, що є нормальним або типовим.",pos-morphology,"Plural norms/норми is defined with singular 'Те, що є нормальним', losing the plural social-standard sense.","Те, що є нормальним або типовим",,Загальноприйняті правила або стандарти поведінки.,"The plural norms/норми entry requires the plural social-standard sense. The frozen singular formula Те, що є нормальним або типовим defines normality/typicality rather than norms. Replace the definition with a concise plural social-standard definition.",high,correction
