id,evidence_quote,proposed_target,proposed_value,rationale,confidence
SB-0043,Сільське господарство,definitionUa,"Такий, що стосується сільського господарства або пов'язаний із ним.","Narrow-token case: original was led by the bare noun phrase 'Сільське господарство' plus an elliptical 'або пов'язане з ним', not an adjectival formula. Rebuilt using the standard dictionary formula 'Такий, що стосується X або пов'язаний із ним', matching the recorded claim's proposed pattern and the formula already used elsewhere in this batch (SB-0428), while keeping both original elements (the referent and the 'пов'язаний з ним' idea).",high
SB-0061,резиденцією посла,definitionUa,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну.","Narrow-token case: the parenthetical '(Іноді його називають резиденцією посла)' literally claims the ambassador (a person) is sometimes called 'the ambassador's residence' (a building), which is false and appears to be leaked from the separate 'embassy/residence' sense. Deleted only the erroneous parenthetical; the preceding sentence was accurate and preserved verbatim.",high
SB-0073,актуальна,definitionUa,"Підходить для застосування, актуальний.","Narrow-token case: the recorded claim targets only the gender disagreement on 'актуальна' vs the masculine gloss 'застосовний'. Changed only that final token to 'актуальний' and restored 'Підходить для застосування' verbatim, since that opening clause was outside the recorded defect. Separate observation for the reviewer: 'Підходить' is a finite verb form, not an adjectival predicate, so the opening clause may itself be a non-adjectival-formula defect worth a future pass -- not folded into this correction.",high
SB-0328,усним або письмовим,definitionUa,"Емфатичний або формальний акт висловлювання, розповіді або ствердження чогось, усний або письмовий; рішуче твердження чи проголошення.","Narrow-token case: confirmed 'усним або письмовим' is in the instrumental case with nothing to govern it, while the head noun 'акт' is nominative masculine, producing a calque-like case mismatch. Changed only the case of that phrase to nominative masculine 'усний або письмовий', keeping the original conjunction 'або' unchanged (the recorded defect concerned case agreement, not the conjunction); the rest of the sentence, including 'чи' in the final clause, is unchanged.",medium
SB-0428,Щодо виборів або щодо них,definitionUa,"Такий, що стосується виборів, або пов'язаний із ними.","Whole-definition case: verified the claim -- 'Щодо виборів або щодо них' uses 'щодо' twice pointing at the same referent (elections), which is not a coherent Ukrainian definition, so a minimal token swap could not fix it. Rewrote as a standard adjectival formula 'Такий, що стосується X, або пов'язаний із ним(и)' using two distinct predicates instead of the redundant repetition.",medium
SB-0516,Якість бути гнучким,definitionUa,"Здатність бути гнучким, фізично чи метафорично.","Narrow-token case: confirmed 'Якість бути гнучким' calques the English 'quality of being flexible' pattern, which is unidiomatic in Ukrainian. Replaced only 'Якість' with 'Здатність' (the standard здатність+infinitive construction used for abilities/properties), leaving 'бути гнучким, фізично чи метафорично' untouched.",high
SB-0556,Розрізати на дрібніші шматки,definitionUa,"Перетворювати щось на дрібні частинки, розтираючи або розмелюючи його.","Whole-definition case: the recorded claim criticises the whole rendering as cutting by sideways movements, not a single token, and the gloss is 'молоти' (to mill/grind), so rewrote the full definition rather than swapping one word. Built on imperfective verbs ('Перетворювати', gerunds of 'розтирати'/'розмелювати') to match this bank's convention for verb entries (cf. 'Обговорювати', 'Брати участь'), and avoided circularity -- my prior draft's 'Розтерти ... шляхом подрібнення' said crush by means of crushing, which this version does not repeat. Confidence is medium: the exact choice of manner verbs (розтирати/розмелювати) is a defensible but not uniquely determined rendering of 'grind'.",medium
SB-0651,Щось призначене,definitionUa,Мета або задум зробити щось; свідоме прагнення досягти певного результату.,"Whole-definition case: verified the claim -- 'Щось призначене' means 'something designated/intended-for-a-purpose' (an object sense), not the mental-state sense of 'intent' matching the gloss 'намір'. Since the entire clause described the wrong concept, a token swap was insufficient; rewrote the definition around purpose/aim/design, the core sense of 'намір'.",medium
SB-0652,Пропозиція або залучення,definitionUa,"Такий, що передбачає взаємодію з користувачем.","Whole-definition case: verified the claim -- the definition opens with the noun 'Пропозиція' (a proposal/offer), which is ungrammatical as a definition of the adjective 'інтерактивний' and does not describe the adjective at all. Rewrote as a standard adjectival formula referring to user interaction, the core sense of the headword.",medium
SB-0710,прямі або приблизно прямі,definitionUa,Має форму лінії; прямий або приблизно прямий; за прямим курсом.,"Narrow-token case: confirmed the definition shifts from the singular predicate 'Має форму лінії' to plural adjectives 'прямі ... прямі', disagreeing with the singular masculine gloss 'лінійний'. Changed only that clause to singular masculine 'прямий або приблизно прямий'; the surrounding clauses are unchanged.",high
