id,word,pos,source
SB-0043,agricultural,adj.,floor
SB-0061,ambassador,n.,floor
SB-0073,applicable,adj.,floor
SB-0328,declaration,n.,floor
SB-0428,electoral,adj.,floor
SB-0516,flexibility,n.,floor
SB-0556,grind,v.,floor
SB-0651,intent,n.,floor
SB-0652,interactive,adj.,floor
SB-0710,linear,adj.,floor
SB-0885,post-war,adj.,floor
SB-0899,prescribe,v.,floor
SB-0907,presumably,adv.,floor
SB-1003,reside,v.,floor
SB-1048,seemingly,adv.,floor
SB-1111,squad,n.,floor
SB-1149,successor,n.,floor
SB-1168,surrender,v.,floor
SB-1171,suspicion,n.,floor
SB-1247,undergraduate,n.,floor
SB-1270,verify,v.,floor
SB-1275,viable,adj.,floor
SB-1335,established,word family,floor
SB-1495,conference,word family,floor
SB-1523,phase,word family,floor
SB-1570,perspective,word family,floor
SB-1585,abstract,word family,floor
SB-1590,attached,word family,floor
SB-1630,adults,word family,floor
SB-1668,submitted,word family,floor
SB-1747,norms,word family,floor
