id,word,pos,ua,definitionUa,final_disposition,category,provenance,existing_rationale,proposal_state
SB-0043,agricultural,adj.,сільськогосподарський,Сільське господарство або пов'язане з ним.,P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,"Adjective agricultural is defined by the noun phrase 'Сільське господарство' plus an elliptical fragment; use 'Такий, що стосується сільського господарства'.",absent
SB-0061,ambassador,n.,посол,"Дипломат найвищого рангу, посланий до іноземного двору, щоб представляти там свого суверена або країну. (Іноді його називають резиденцією посла)",P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,"The parenthetical says the ambassador is sometimes called the ambassador's residence, which is false and likely leaked from another sense.",absent
SB-0073,applicable,adj.,застосовний,"Підходить для застосування, актуальна.",P1,grammar-syntax,Codex seed-20260914 blinded acceptance challenge,The predicate switches from masculine 'Підходить' to feminine 'актуальна' for the same adjective gloss.,absent
SB-0328,declaration,n.,декларація,"Емфатичний або формальний акт висловлювання, розповіді або ствердження чогось, усним або письмовим; рішуче твердження чи проголошення.",P1,grammar-syntax,Codex seed-20260914 blinded acceptance challenge,The phrase ending 'усним або письмовим' does not agree cleanly with 'акт' and the definition is a malformed source-language calque.,absent
SB-0428,electoral,adj.,виборчий,Щодо виборів або щодо них.,P1,grammar-calque,Codex seed-20260914 blinded acceptance challenge,'Щодо виборів або щодо них' repeats the same object and is not a usable Ukrainian definition.,absent
SB-0516,flexibility,n.,гнучкість,"Якість бути гнучким, фізично чи метафорично.",P1,grammar-calque,Codex seed-20260914 blinded acceptance challenge,'Якість бути гнучким' is an English-pattern calque; idiomatic Ukrainian requires 'здатність/властивість бути гнучким'.,absent
SB-0556,grind,v.,молоти,Розрізати на дрібніші шматки шляхом подрібнення бічними рухами.,P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,"Grind is rendered as cutting by sideways movements; the core action is crushing, rubbing, or milling into smaller particles.",absent
SB-0651,intent,n.,намір,Щось призначене.,P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,"Intent is defined as 'Щось призначене' rather than an intention, purpose, or aim.",absent
SB-0652,interactive,adj.,інтерактивний,Пропозиція або залучення взаємодії з користувачем.,P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,Adjective interactive is led by the noun 'Пропозиція'; the phrase is ungrammatical and does not define the adjective.,absent
SB-0710,linear,adj.,лінійний,Має форму лінії; прямі або приблизно прямі; за прямим курсом.,P1,grammar-syntax,Codex seed-20260914 blinded acceptance challenge,"After singular 'Має форму лінії', the gloss shifts to plural adjectives 'прямі ... прямі'.",absent
SB-0885,post-war,adj.,післявоєнний,Відноситься до періоду часу відразу після закінчення війни; де є припинення конфлікту.,P1,russianism-calque,Codex seed-20260914 blinded acceptance challenge,"'Відноситься до' is a Russian-pattern calque here, and 'де є припинення конфлікту' is an ill-formed appended clause.",absent
SB-0899,prescribe,v.,призначати,Замовити (лікарський засіб або медичний пристрій) для використання конкретним пацієнтом (за ліцензією).,P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,The definition uses 'Замовити' (order/purchase) for prescribe instead of 'призначити'.,absent
SB-0907,presumably,adv.,мабуть,Здатний бути розумно припущеним.,P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,Adverb presumably is defined as the adjective presumable: 'Здатний бути ... припущеним'.,absent
SB-1003,reside,v.,проживати,Проживати постійно або на тривалий час; мати постійне місце проживання на час; залишатися надовго.,P1,grammar-semantic,Codex seed-20260914 blinded acceptance challenge,'мати постійне місце проживання на час' is internally contradictory and not idiomatic Ukrainian.,absent
SB-1048,seemingly,adv.,здавалося б,Як з'являється; мабуть.,P1,grammar-calque,Codex seed-20260914 blinded acceptance challenge,'Як з'являється' is a false calque of 'as it appears'; Ukrainian requires 'як видається/на перший погляд'.,absent
SB-1111,squad,n.,загін,"Група людей, організована для якоїсь спільної мети, зазвичай із десяти членів.",P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,The claim that a squad usually has ten members is over-specific and false across ordinary military and nonmilitary senses.,absent
SB-1149,successor,n.,наступник,"Особа або річ, яка безпосередньо слідує за іншою у займанні посади чи титулу.",P1,russianism-calque,Codex seed-20260914 blinded acceptance challenge,"'слідує за' and 'у займанні посади' are calqued, non-idiomatic constructions for succeeding someone in office.",absent
SB-1168,surrender,v.,здатися,"Віддатися у владу іншого, особливо в полоні; подати або поступитися.",P1,grammar-semantic,Codex seed-20260914 blinded acceptance challenge,'особливо в полоні; подати або поступитися' is malformed and adds verbs that do not express surrender.,absent
SB-1171,suspicion,n.,підозра,"Дія підозрювати щось або когось, особливо в чомусь недобре.",P1,grammar-syntax,Codex seed-20260914 blinded acceptance challenge,'Дія підозрювати' and 'в чомусь недобре' are ungrammatical; the noun requires an idiomatic nominal definition.,absent
SB-1247,undergraduate,n.,студент,"Студент університету, який ще не отримав наукового ступеня.",P1,ua-definition-consistency,Codex seed-20260914 blinded acceptance challenge,ua 'студент' is broader than undergraduate and conflicts with the definition's first-degree constraint.,absent
SB-1270,verify,v.,перевірити,Щоб підтвердити або перевірити правдивість або точність чогось.,P1,grammar-calque,Codex seed-20260914 blinded acceptance challenge,The definition begins with the purpose-clause calque 'Щоб підтвердити' instead of an infinitive definition.,absent
SB-1275,viable,adj.,життєздатний,"Можна зробити, можливо, практично, здійсненно.",P1,grammar-syntax,Codex seed-20260914 blinded acceptance challenge,"'Можна зробити, можливо, практично, здійсненно' mixes incompatible forms and is not a grammatical definition.",absent
SB-1335,established,word family,встановлений; усталений,"Існуючи протягом тривалого часу, тому визнаний і загальновизнаний.",P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,Established is defined with the adverbial participle 'Існуючи' rather than an adjectival/participial construction.,absent
SB-1495,conference,word family,конференції,"Офіційний захід, на якому науковці презентують результати своїх досліджень у промовах, семінарах, плакатах або іншими засобами.",P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,"Singular conference is translated with 'конференції', not nominative singular 'конференція'.",absent
SB-1523,phase,word family,фаза,"Визначна частина послідовності або циклу, що відбувається з часом.",P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,"'Визначна частина' means a notable/prominent part, not a distinct stage or phase.",absent
SB-1570,perspective,word family,перспектива,"Вибір єдиного ракурсу або точки зору, з якої можна відчути, класифікувати, виміряти або кодифікувати досвід.",P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,Perspective is incorrectly reduced to the choice of one angle rather than a viewpoint or way of understanding.,absent
SB-1585,abstract,word family,анотація,Скорочення або підсумок більшої публікації.,P1,semantic-pedagogical,Codex seed-20260914 blinded acceptance challenge,"Academic abstract is defined with 'Скорочення' (abbreviation/shortening), not a concise summary; the wording misleads.",absent
SB-1590,attached,word family,додається,Підключений; приєднався.,P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,Attached is rendered with impersonal/present 'додається' and then mixed adjective/past-verb forms 'Підключений; приєднався'.,absent
SB-1630,adults,word family,дорослі,"Особа, яка досягла повноліття.",P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,Plural adults/дорослі is defined with singular 'Особа'.,absent
SB-1668,submitted,word family,подано,"Внести або винести на затвердження, розгляд, відмітку тощо.",P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,Submitted is rendered as impersonal 'подано' but defined by active infinitives 'Внести або винести'.,absent
SB-1747,norms,word family,норми,"Те, що є нормальним або типовим.",P1,pos-morphology,Codex seed-20260914 blinded acceptance challenge,"Plural norms/норми is defined with singular 'Те, що є нормальним', losing the plural social-standard sense.",absent
