id,word,pos,ua,definitionUa,bucket,provenance
SB-0001,abolish,v.,скасувати,"Припинення закону, системи, установи, звичаю чи практики.",d_clean,clean-pool (never flagged)
SB-0003,absence,n.,відсутність,Стан віддаленості або відстороненості від місця чи спілкування,d_clean,clean-pool (never flagged)
SB-0006,abundance,n.,достаток,Велика кількість; багато.,d_clean,clean-pool (never flagged)
SB-0008,academy,n.,академія,Вищий навчальний заклад; коледж або університет; зазвичай приватна школа.,d_clean,clean-pool (never flagged)
SB-0009,accelerate,v.,прискорити,Змусити рухатися швидше; прискорити рух; щоб збільшити швидкість.,c_known_open,known-open-24 (seed-20260913; grammar-calque-fragment)
SB-0010,acceptance,n.,прийняття,"Акт приймання; отримання чогось запропонованого з мовчазною згодою, схваленням або задоволенням; особливо, сприятливий прийом; затвердження.",d_clean,clean-pool (never flagged)
SB-0012,accomplishment,n.,досягнення,Щось досягнуте; досягнення.,d_clean,clean-pool (never flagged)
SB-0014,accordingly,adv.,відповідно,У природній послідовності; отже; так.,d_clean,clean-pool (never flagged)
SB-0015,accountability,n.,підзвітність,Стан підзвітності; зобов'язання викликати звіт або дати пояснення; зобов'язання нести відповідальність або відповідати за щось.,d_clean,clean-pool (never flagged)
SB-0016,accountable,adj.,підзвітний,"Зобов'язаний, коли його покличуть, відповідати (за свої вчинки); відповідальний.",d_clean,clean-pool (never flagged)
SB-0018,accumulation,n.,накопичення,"Акт накопичення або збору, як у купу.",d_clean,clean-pool (never flagged)
SB-0019,accusation,n.,звинувачення,Акт обвинувачення.,d_clean,clean-pool (never flagged)
SB-0020,accused,n.,обвинувачений,"Особа, яка обвинувачується у вчиненні правопорушення; фігурант кримінальної справи.",d_clean,clean-pool (never flagged)
SB-0022,acquisition,n.,придбання,Акт або процес придбання.,d_clean,clean-pool (never flagged)
SB-0023,acre,n.,акр,"Англійська одиниця площі землі (символ: a. або ac.), яка спочатку позначала денну оранку за ярмо волів, тепер стандартизована як 4840 квадратних ярдів або 4046,86 квадратних метрів.",d_clean,clean-pool (never flagged)
SB-0024,activation,n.,активація,Робити активними та ефективними; приведення в стан активності.,d_clean,clean-pool (never flagged)
SB-0025,activist,n.,активіст,"Той, хто є політично активним у ролі громадянина; особливо той, хто бореться за зміни.",d_clean,clean-pool (never flagged)
SB-0026,acute,adj.,гострий,інтенсивний; чутливий; різкий.,d_clean,clean-pool (never flagged)
SB-0027,adaptation,n.,адаптація,"Процес адаптації чогось або пристосування до ситуації; коригування, модифікація.",d_clean,clean-pool (never flagged)
SB-0030,adjustment,n.,коригування,Дія регулювання чогось,d_clean,clean-pool (never flagged)
SB-0033,administrator,n.,адміністратор,"Той, хто веде справи; той, хто скеровує, керує, виконує або розпоряджається, чи то в цивільних, судових, політичних чи церковних справах; менеджер.",d_clean,clean-pool (never flagged)
SB-0035,adolescent,n.,підліток,"Людина, яка перебуває в підлітковому віці; хтось, хто досяг статевої зрілості, але ще не дорослий.",d_clean,clean-pool (never flagged)
SB-0036,adoption,n.,усиновлення,Стан усиновлення; прийняття дитини інших батьків як власної дитини.,d_clean,clean-pool (never flagged)
SB-0039,aesthetic,adj.,естетичний,"Стурбований красою, художнім ефектом або зовнішнім виглядом.",d_clean,clean-pool (never flagged)
SB-0040,affection,n.,прихильність,Почуття любові або сильної прихильності.,d_clean,clean-pool (never flagged)
SB-0041,aftermath,n.,наслідки (переважно негативні),"Те, що відбувається після, те, що слідує, зазвичай має яскраво негативний відтінок у більшості контекстів, натякаючи на попередню катастрофу.",d_clean,clean-pool (never flagged)
SB-0042,aggression,n.,агресія,Ворожа чи деструктивна поведінка чи дії.,d_clean,clean-pool (never flagged)
SB-0043,agricultural,adj.,сільськогосподарський,Сільське господарство або пов'язане з ним.,d_clean,clean-pool (never flagged)
SB-0045,albeit,conj.,хоча,"Сполучник зі значенням «хоча» або «незважаючи на те, що».",d_clean,clean-pool (never flagged)
SB-0047,alien,adj.,чужий,"Не належать до тієї самої країни, землі чи уряду, чи до їхніх громадян чи підданих; іноземні.",d_clean,clean-pool (never flagged)
SB-0048,align,v.,вирівняти,Підлаштовуватися під лінію; діапазон або форму в лінію; привести у відповідність.,d_clean,clean-pool (never flagged)
SB-0053,allegedly,adv.,нібито,За чиїмось твердженням.,d_clean,clean-pool (never flagged)
SB-0054,alliance,n.,альянс,"Союз або зв’язок інтересів між сім’ями, державами, партіями тощо, особливо між сім’ями за шлюбом і державами за договором, угодою чи союзом.",d_clean,clean-pool (never flagged)
SB-0055,allocate,v.,виділити,Відкладати для певної мети.,d_clean,clean-pool (never flagged)
SB-0056,allocation,n.,виділення,"Процес або процедура розподілу речей, особливо грошей або інших ресурсів.",d_clean,clean-pool (never flagged)
SB-0058,ally,n.,союзник,"Людина, яка співпрацює або допомагає іншому; асоційований; друг.",c_known_open,known-open-24 (seed-20260913; pos-morphology-mismatch)
SB-0059,aluminium,n.,алюміній,"Легкий сріблястий метал, що добувається з бокситів, і хімічний елемент (символ Al) з атомним номером 13.",d_clean,clean-pool (never flagged)
SB-0060,amateur,"adj., n.",любитель,"Людина, прив’язана до певної діяльності, навчання, науки чи мистецтва (наприклад, музики чи живопису), особливо та, яка розвиває будь-які дослідження, інтереси, смаки чи прихильності, не займаючись цим професійно.",d_clean,clean-pool (never flagged)
