id,word,pos,source,stage,proposed_target,proposed_value,gap
SB-0009,accelerate,v.,floor,A,definitionUa,Змусити рухатися швидше; збільшити швидкість.,false
SB-0014,accordingly,adv.,floor,A,definitionUa,Відповідним чином; отже; таким чином.,false
SB-0015,accountability,n.,reconciled,A,definitionUa,Обов’язок пояснювати свої дії та нести за них відповідальність.,false
SB-0024,activation,n.,floor,A,definitionUa,Процес приведення в активний стан; уведення в дію.,false
SB-0039,aesthetic,adj.,reconciled,A,definitionUa,"Пов’язаний із красою, мистецтвом або привабливим зовнішнім виглядом.",false
SB-0043,agricultural,adj.,floor,A,,,true
SB-0047,alien,adj.,reconciled,A,definitionUa,"Такий, що належить іншій країні або є чужим для певного середовища.",false
SB-0048,align,v.,reconciled,A,both,ua: вирівнювати; узгоджувати | definitionUa: Розташовувати по прямій лінії або приводити у відповідність.,false
SB-0055,allocate,v.,reconciled,A,definitionUa,Призначати або виділяти щось для певної мети.,false
SB-0058,ally,n.,floor,A,definitionUa,"Той, хто співпрацює з іншим або допомагає йому; спільник, союзник.",false
SB-0060,amateur,"adj., n.",reconciled,A,both,"ua: аматор; аматорський | definitionUa: Людина, яка займається чимось не професійно; також такий, що стосується непрофесійної діяльності.",false
SB-0061,ambassador,n.,floor,A,,,true
SB-0063,amendment,n.,reconciled,A,definitionUa,"Зміна або доповнення до документа, закону чи угоди, зокрема до конституції.",false
SB-0067,angel,n.,floor,A,definitionUa,"Безтілесний святий або напівбожественний посланець божества чи іншої божественної сутності, якого традиційно зображують молодою крилатою постаттю у просторих шатах, що розвіваються.",false
SB-0069,apparatus,n.,reconciled,A,definitionUa,"Набір обладнання або засобів, потрібних для виконання певного завдання.",false
SB-0070,appealing,adj.,floor,A,definitionUa,"Привабливий; такий, що викликає інтерес або симпатію.",false
SB-0073,applicable,adj.,floor,A,,,true
SB-0081,arm,v.,reconciled,A,definitionUa,Забезпечувати когось зброєю або готувати до збройної дії.,false
SB-0084,ash,n.,reconciled,A,definitionUa,Твердий порошкоподібний залишок після згоряння речовини.,false
SB-0087,assassination,n.,reconciled,A,ua,політичне або замовне вбивство,false
SB-0088,assault,"n., v.",reconciled,A,both,Фізична або словесна атака; також нападати на когось чи щось.,false
SB-0092,assertion,n.,reconciled,A,definitionUa,Упевнене й чітке твердження або заява.,false
SB-0099,attribute,"v., n.",reconciled,A,both,ua: ознака; приписувати | definitionUa: Характерна риса; також вважати щось наслідком чи твором певної особи або причини.,false
SB-0114,barrel,n.,reconciled,A,definitionUa,"Циліндрична посудина, довша, ніж ширша, опукла посередині й складена з клепок, стягнутих обручами.",false
SB-0118,bay,n.,reconciled,A,definitionUa,"Частина моря чи озера, що вдається в суходіл і частково оточена берегом.",false
SB-0122,beloved,adj.,reconciled,A,definitionUa,Дуже дорогий або коханий.,false
SB-0129,biography,n.,reconciled,A,definitionUa,"Опис життя людини, написаний іншою особою.",false
SB-0134,bleed,v.,reconciled,A,definitionUa,Втрачати кров через ушкодження кровоносної судини.,false
SB-0142,boundary,n.,floor,A,definitionUa,Лінія поділу між двома областями; межа.,false
SB-0152,buddy,n.,reconciled,A,definitionUa,"Друг або приятель, з яким мають близькі чи невимушені стосунки.",false
SB-0156,bureaucracy,n.,reconciled,A,definitionUa,"Система управління, у якій важливу роль відіграють численні установи, правила й посадовці.",false
SB-0158,burst,v.,reconciled,A,definitionUa,Раптово розірватися або лопнути під внутрішнім тиском.,false
SB-0172,cattle,n.,reconciled,A,definitionUa,"Свійські тварини виду Bos taurus, зокрема корови, бики й воли.",false
SB-0188,civilian,"n., adj.",reconciled,A,both,"ua: цивільна особа; цивільний | definitionUa: Людина, яка не є військовослужбовцем; також пов’язаний із цивільним життям.",false
SB-0191,classification,n.,floor,A,definitionUa,"Акт розподілу на класи; поділ на групи (класи, порядки, родини тощо) за спільними ознаками або атрибутами.",false
SB-0199,cognitive,adj.,reconciled,A,definitionUa,"Пов’язаний із пізнанням, мисленням, пам’яттю та іншими розумовими процесами.",false
SB-0205,colonial,adj.,reconciled,A,definitionUa,"Такий, що стосується колонії або колоніалізму.",false
SB-0215,companion,n.,reconciled,A,definitionUa,"Людина, з якою проводять час або яка супроводжує когось; товариш чи партнер.",false
SB-0217,compassion,n.,reconciled,A,definitionUa,"Глибоке співчуття до чужих страждань, що спонукає допомогти.",false
SB-0257,consolidate,v.,reconciled,A,definitionUa,Об’єднувати окремі частини в єдине ціле; зміцнювати досягнуте.,false
SB-0271,contractor,n.,reconciled,A,definitionUa,"Особа або компанія, що за договором виконує роботи чи надає послуги.",false
SB-0276,convict,v.,reconciled,A,definitionUa,Офіційно визнати особу винною за рішенням суду.,false
SB-0285,copyright,n.,reconciled,A,definitionUa,"Закріплене законом виключне право автора визначати, хто може відтворювати, публікувати й поширювати твір.",false
SB-0290,correspondence,n.,reconciled,A,definitionUa,Обмін листами або іншими письмовими повідомленнями.,false
SB-0295,costly,adj.,floor,A,definitionUa,"Такий, що коштує дорого; дорогий.",false
SB-0306,creator,n.,floor,A,definitionUa,"Той або те, що щось створює чи виготовляє.",false
SB-0313,crush,v.,reconciled,A,definitionUa,"Сильно стискати або розчавлювати щось так, що воно деформується чи руйнується.",false
SB-0328,declaration,n.,floor,A,,,true
SB-0337,deficit,n.,reconciled,A,definitionUa,"Нестача коштів або сума, на яку витрати перевищують доходи.",false
SB-0352,deprive,v.,reconciled,A,definitionUa,"Позбавляти когось чогось або не давати йому того, що він має чи потребує.",false
SB-0353,deputy,n.,reconciled,A,definitionUa,"Особа, призначена діяти замість іншої або допомагати посадовцеві як його заступник.",false
SB-0360,detain,v.,reconciled,A,definitionUa,Не дозволяти комусь піти або тимчасово тримати під вартою.,false
SB-0363,deteriorate,v.,floor,A,definitionUa,Ставати гіршим за якістю; погіршуватися; вироджуватися.,false
SB-0371,differentiate,v.,floor,A,definitionUa,Показувати відмінність між речами або встановлювати її; розрізняти.,false
SB-0385,discourse,n.,reconciled,A,definitionUa,Усне або письмове висловлення думок; зв’язна мова чи обговорення певної теми.,false
SB-0428,electoral,adj.,floor,A,,,true
SB-0430,eligible,adj.,reconciled,A,both,"ua: той, хто має право; придатний | definitionUa: Такий, що відповідає вимогам і тому має право брати участь або бути обраним.",false
SB-0435,embed,v.,reconciled,A,definitionUa,"Вставляти один об’єкт, файл або фрагмент даних в інший.",false
SB-0437,emergence,n.,reconciled,A,definitionUa,"Процес появи, виникнення або виходу з прихованого стану.",false
SB-0441,encompass,v.,reconciled,A,definitionUa,"Охоплювати, включати до свого складу або оточувати.",false
SB-0446,endorse,v.,reconciled,A,definitionUa,Публічно або офіційно висловлювати підтримку чи схвалення.,false
SB-0467,establishment,n.,floor,A,definitionUa,"Установа, заклад або підприємство, створені для сталої діяльності; також сам процес заснування.",false
SB-0471,evolutionary,adj.,reconciled,A,definitionUa,Пов’язаний з еволюцією або теорією еволюції.,false
SB-0474,exceptional,adj.,floor,A,definitionUa,"Такий, що становить виняток; незвичайний; рідкісний.",false
SB-0475,excess,"n., adj.",reconciled,A,both,"ua: надлишок; надмірний | definitionUa: Кількість понад необхідну норму; також більший, ніж потрібно або дозволено.",false
SB-0478,exclusively,adv.,reconciled,A,definitionUa,"Лише для когось або чогось, без залучення інших; винятково.",false
SB-0485,experimental,adj.,reconciled,A,definitionUa,"Такий, що стосується експерименту або ґрунтується на ньому.",false
SB-0493,facilitate,v.,floor,A,definitionUa,Робити легшим; полегшувати.,false
SB-0494,faction,n.,reconciled,A,definitionUa,"Група всередині більшої організації, члени якої мають спільні погляди, відмінні від поглядів інших членів.",false
SB-0498,fatal,adj.,floor,A,definitionUa,"Такий, що спричиняє смерть або руйнування; смертельний, згубний.",false
SB-0500,favourable,adj.,reconciled,A,definitionUa,"Такий, що виражає схвалення або створює добрі умови для успіху.",false
SB-0516,flexibility,n.,floor,A,,,true
SB-0518,fluid,n.,reconciled,A,both,"ua: рідина; текуча речовина | definitionUa: Речовина, що може текти й набувати форми посудини, зокрема рідина або газ.",false
SB-0519,footage,n.,reconciled,A,definitionUa,"Відеоматеріал або кадри, записані для фільму, телебачення чи іншої мети.",false
SB-0539,gaze,"n., v.",reconciled,A,both,ua: пильний погляд; пильно дивитися | definitionUa: Тривалий уважний погляд; також довго й уважно дивитися.,false
SB-0543,glance,"n., v.",reconciled,A,both,ua: швидкий погляд; швидко глянути | definitionUa: Короткий погляд; також швидко подивитися на когось або щось.,false
SB-0545,glorious,adj.,reconciled,A,definitionUa,"Такий, що заслуговує великої слави або викликає захоплення.",false
SB-0547,governance,n.,reconciled,A,definitionUa,"Система й процеси, за допомогою яких організацією або державою керують і контролюють її діяльність.",false
SB-0556,grind,v.,floor,A,,,true
SB-0567,handling,n.,reconciled,A,definitionUa,"Спосіб поводження з предметом, ситуацією або питанням; керування чи оброблення.",false
SB-0571,harmony,n.,floor,A,definitionUa,Злагода або співзвуччя; погодженість.,false
SB-0573,harvest,"n., v.",reconciled,A,both,ua: урожай; збирати врожай | definitionUa: Зібрані сільськогосподарські культури; також збирати їх після дозрівання.,false
SB-0581,hint,"n., v.",reconciled,A,both,ua: натяк; натякати | definitionUa: Непряма підказка; також давати зрозуміти щось без прямого твердження.,false
SB-0588,hostile,adj.,reconciled,A,definitionUa,"Недружній або ворожий; такий, що виявляє злу волю чи бажання завдати шкоди.",false
SB-0599,imagery,n.,reconciled,A,both,"ua: образність; образи | definitionUa: Виразні мовні образи й описи, що викликають чуттєві уявлення.",false
SB-0602,implementation,n.,reconciled,A,definitionUa,"Процес практичного здійснення плану, ідеї, системи або рішення.",false
