id,word,pos,ua,definitionUa,pass_a_disposition,pass_a_rationale,pass_b_disposition,pass_b_rationale,evidence_quote,final_disposition,confidence,category,rationale,proposed_target,proposed_value
SB-0693,legendary,adj.,легендарний,"Маючи неймовірну велич; чудовий до такої міри, щоб викликати історії.",P2,«Неймовірна велич» and «викликати історії» are stiff and do not directly define legendary.,clean-candidate,legendary → «легендарний»; definition (having incredible greatness; remarkable enough to give rise to stories) conveys the sense; adjective POS matches.,викликати історії,P2,high,idiomatic-ukrainian,«неймовірну велич» and «викликати історії» are stiff and do not directly define legendary — confirmed (Pass A P2).,definitionUa,"Надзвичайно відомий або визначний, гідний легенд."
SB-0736,manipulation,n.,маніпуляція,Практика маніпулювання або стан маніпулювання.,P2,The definition merely repeats manipulation and gives no usable explanation.,clean-candidate,manipulation → «маніпуляція»; definition (the practice or state of manipulating) is near-circular but not misleading; noun POS matches.,Практика маніпулювання або стан маніпулювання,P2,high,pedagogical-definition,the definition merely repeats manipulation and gives no usable explanation — confirmed (Pass A P2).,definitionUa,Прихований або нечесний вплив на людину чи ситуацію для досягнення власної мети.
SB-1124,stir,v.,ворушити,"Порушувати взаємне розташування частинок (рідини чи подібного), пропускаючи через них предмет.",clean-candidate,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",P2,"the definition describes stirring the particles of a liquid, but the gloss «ворушити» (to move/stir slightly) is imprecise for that sense; «помішувати/розмішувати» fits the liquid-stirring meaning.",ворушити,P2,medium,imprecise-gloss,"DIVERGENCE from Pass A (clean→P2): the definition describes stirring the particles of a liquid, but the gloss «ворушити» (to move slightly) is imprecise; «помішувати/розмішувати» fits the liquid-stirring sense — Pass B's P2 upheld.",ua,розмішувати; помішувати
SB-0537,gambling,n.,азартні ігри,"Діяльність, що характеризується балансом між виграшем і програшем, що регулюється сумішшю навичок і випадковості, як правило, із ставкою на результат.",P1,The definition's «balance between winning and losing» does not explain wagering on an uncertain outcome.,clean-candidate,"gambling → «азартні ігри»; definition (an activity balancing winning and losing, governed by skill and chance, with a stake) is accurate; noun POS matches.",із ставкою на результат,clean-candidate,medium,,"DIVERGENCE from Pass A (P1→clean): the definition does state «із ставкою на результат» and names skill and chance, so it does capture wagering on an uncertain outcome; Pass A's 'does not explain wagering' claim does not hold against the frozen text, so no learner-facing defect remains.",,
SB-1068,shrink,v.,скорочуватися,Стати меншим; контрактувати.,P1,«Контрактувати» is an erroneous calque of contract in the sense become smaller.,clean-candidate,shrink → «скорочуватися»; definition (to become smaller; to contract) is accurate; verb POS matches.,контрактувати,P1,high,calque-russianism,«контрактувати» is a nonstandard calque of 'contract' meaning become smaller — confirmed.,definitionUa,"Ставати меншим за розміром, обсягом або кількістю; стискатися."
SB-0956,rape,"n., v.",зґвалтування,Примушувати (когось) до статевого акту чи інших сексуальних дій без його згоди.,P1,"The source is noun and verb, but ua is noun-only and the definition verb-only.",clean-candidate,"rape → «зґвалтування»; definition (to force someone into sexual acts without consent) is accurate and appropriately clinical; n.,v. POS matches.",Примушувати,P1,high,pos-alignment,"rape is n.,v. but ua «зґвалтування» is noun-only while the definition «Примушувати…» is verb-only — coverage defect confirmed.",both,ua: зґвалтування; ґвалтувати | definitionUa: Статевий акт або інша сексуальна дія без згоди; також примушувати когось до такої дії.
SB-0925,profitable,adj.,прибутковий,Отримання прибутку.,P2,The noun phrase «Отримання прибутку» does not directly define the adjective.,clean-candidate,profitable → «прибутковий»; definition (yielding profit) is accurate; adjective POS matches.,Отримання прибутку,P2,high,pos-alignment,"«Отримання прибутку» is a noun phrase, not an adjective definition for profitable — confirmed (Pass A P2).",definitionUa,"Такий, що приносить прибуток."
SB-0977,regardless,adv.,незалежно,Не звертаючи уваги на; ігнорування.,P1,«Не звертаючи уваги на; ігнорування» mixes an incomplete participial phrase with a noun and does not define the adverb.,clean-candidate,regardless → «незалежно»; definition (paying no attention to; ignoring) is accurate; adverb POS matches.,Не звертаючи уваги на; ігнорування,P1,high,pos-alignment,«Не звертаючи уваги на; ігнорування» mixes an incomplete participial phrase with a noun and does not define the adverb — confirmed.,definitionUa,Не беручи до уваги певну обставину; попри неї.
SB-0694,legislation,n.,законодавство,"Закон, прийнятий законодавчим або іншим керівним органом.",P1,"Legislation is a body or process of lawmaking, not one law as the definition states.",clean-candidate,legislation → «законодавство»; definition (law enacted by a legislative or governing body) is accurate; noun POS matches.,"Закон, прийнятий законодавчим",P1,high,semantic-fidelity,"legislation is a body or process of lawmaking, not the single «Закон» the definition states — semantic defect confirmed.",definitionUa,Сукупність законів або процес їх ухвалення законодавчим органом.
SB-0199,cognitive,adj.,когнітивний,"Відноситься до тієї частини розумових функцій, яка має справу з логікою, на відміну від афективної, яка має справу з емоціями.",P1,«Відноситься до» is a Russian-influenced calque and the definition is unnecessarily narrow.,clean-candidate,"cognitive → «когнітивний»; definition (relating to the mental functions dealing with logic, as opposed to affective/emotional) is accurate; adjective POS matches.",Відноситься до,P1,high,calque-russianism,«Відноситься до» is a Russian-influenced calque and the definition is unnecessarily narrow — confirmed.,definitionUa,"Пов’язаний із пізнанням, мисленням, пам’яттю та іншими розумовими процесами."
