id,stage,source_stage,proposal_source,word,pos,category,confidence,provenance,finding_evidence,proposal_rationale,current_ua,current_definitionUa,source_proposed_target,source_proposed_value,proposed_ua,proposed_definitionUa,proposal_fields,effective_fields,current_pair_sha256,finding_rationale,finding_confidence,proposal_evidence_quote
SB-0009,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,accelerate,v.,grammar-calque-fragment,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,"definitionUa ends with dangling purpose-clause fragment 'щоб збільшити швидкість' appended to two finished glosses; grammatically a fragment, not a definition.",,прискорити,Змусити рухатися швидше; прискорити рух; щоб збільшити швидкість.,definitionUa,Змусити рухатися швидше; збільшити швидкість.,,Змусити рухатися швидше; збільшити швидкість.,definitionUa,definitionUa,5604bc386fa829d9462ec2cb2639d7f3b4a2487d609984eb761b32bc524f6fbe,,high,
SB-0014,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,accordingly,adv.,semantic-pedagogical-error,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,'accordingly' primary gloss 'У природній послідовності' (in natural sequence) is a dubious archaic sense; core sense 'отже' present.,,відповідно,У природній послідовності; отже; так.,definitionUa,Відповідним чином; отже; таким чином.,,Відповідним чином; отже; таким чином.,definitionUa,definitionUa,2c549c8fc01b381210bdba95c4a1842805dc72ffb5ed9002a1ee8f90bb8e888d,,low,
SB-0015,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,accountability,n.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),викликати звіт,,підзвітність,Стан підзвітності; зобов'язання викликати звіт або дати пояснення; зобов'язання нести відповідальність або відповідати за щось.,definitionUa,Обов’язок пояснювати свої дії та нести за них відповідальність.,,Обов’язок пояснювати свої дії та нести за них відповідальність.,definitionUa,definitionUa,2a4b9624b808e5c8469a75b50d8429ec944be7086d1039db35e4730064a829b3,"«викликати звіт» is a literal calque of 'call to account', non-idiomatic Ukrainian — confirmed (Pass B wrongly cleared it).",high,
SB-0024,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,activation,n.,pos-morphology-mismatch,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,"noun 'activation' led with an infinitive-verb phrase 'Робити активними та ефективними'; a correct nominal gloss follows, so partial POS inconsistency.",,активація,Робити активними та ефективними; приведення в стан активності.,definitionUa,Процес приведення в активний стан; уведення в дію.,,Процес приведення в активний стан; уведення в дію.,definitionUa,definitionUa,736aa6b187184946c2498e802eb9af1669cd7240d84fe65666c6c05431f2ad0d,,medium,
SB-0039,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,aesthetic,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Стурбований красою,,естетичний,"Стурбований красою, художнім ефектом або зовнішнім виглядом.",definitionUa,"Пов’язаний із красою, мистецтвом або привабливим зовнішнім виглядом.",,"Пов’язаний із красою, мистецтвом або привабливим зовнішнім виглядом.",definitionUa,definitionUa,86ae8789b3e3d0c6c57b32c1bb9efd96d173799ac846e31ce3fc662e05d6ccd4,«Стурбований красою» mistranslates 'concerned with' and gives the wrong Ukrainian sense of aesthetic — confirmed (Pass B wrongly cleared it).,high,
SB-0043,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,agricultural,adj.,pos-morphology,high,Codex seed-20260914 blinded acceptance challenge,"Adjective agricultural is defined by the noun phrase 'Сільське господарство' plus an elliptical fragment; use 'Такий, що стосується сільського господарства'.","Narrow-token case: original was led by the bare noun phrase 'Сільське господарство' plus an elliptical 'або пов'язане з ним', not an adjectival formula. Rebuilt using the standard dictionary formula 'Такий, що стосується X або пов'язаний із ним', matching the recorded claim's proposed pattern and the formula already used elsewhere in this batch (SB-0428), while keeping both original elements (the referent and the 'пов'язаний з ним' idea).",сільськогосподарський,Сільське господарство або пов'язане з ним.,,,,"Такий, що стосується сільського господарства або пов'язаний із ним.",definitionUa,definitionUa,57e4ea57318045c0a20151471edc854a7edd2c2eb7be7cc9eff7f2608b2b9384,,high,Сільське господарство
SB-0047,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,alien,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Не належать до тієї самої країни,,чужий,"Не належать до тієї самої країни, землі чи уряду, чи до їхніх громадян чи підданих; іноземні.",definitionUa,"Такий, що належить іншій країні або є чужим для певного середовища.",,"Такий, що належить іншій країні або є чужим для певного середовища.",definitionUa,definitionUa,29616cd5a0ee159a8afc7ed3a14c2597afeb56380e836836066ac973238af423,"the singular adjective alien is defined with plural verb and adjective forms, making the sentence grammatically incoherent — confirmed (Pass B wrongly cleared it).",high,
SB-0048,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,align,v.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),діапазон,,вирівняти,Підлаштовуватися під лінію; діапазон або форму в лінію; привести у відповідність.,both,ua: вирівнювати; узгоджувати | definitionUa: Розташовувати по прямій лінії або приводити у відповідність.,вирівнювати; узгоджувати,Розташовувати по прямій лінії або приводити у відповідність.,ua|definitionUa,ua|definitionUa,55bb41039e678d38b676aa9fb82116252db88af3ad78a54b1b8a5af674f1a4dc,the definition includes the unrelated noun «діапазон» and does not clearly separate physical alignment from agreement — confirmed over Pass B's clean.,high,
SB-0055,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,allocate,v.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),Відкладати для певної мети,,виділити,Відкладати для певної мети.,definitionUa,Призначати або виділяти щось для певної мети.,,Призначати або виділяти щось для певної мети.,definitionUa,definitionUa,433bea9e9c2b7ec433069304f62f51838a2ae0030a90c501b53ccb1296714570,«Відкладати» suggests postponement and does not reliably express allocating for a purpose — semantic defect confirmed.,high,
SB-0058,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,ally,n.,pos-morphology-mismatch,medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,"For noun 'ally', gloss includes adjective/participle 'асоційований' as a synonym; POS mismatch.",,союзник,"Людина, яка співпрацює або допомагає іншому; асоційований; друг.",definitionUa,"Той, хто співпрацює з іншим або допомагає йому; спільник, союзник.",,"Той, хто співпрацює з іншим або допомагає йому; спільник, союзник.",definitionUa,definitionUa,69f68a66fa5c765da3a832977458b3fba1f6731555018e9af541206de0b0c4f9,,medium,
