ID,Phase,Requirement,Status,Evidence,Test,Notes
REQ-001,0,Primary product objective,Passed,,,
REQ-002,0,Core design principles,Passed,,,
REQ-003,0,Product information architecture,Passed,,,
REQ-004,0,Global mobile navigation,Passed,,,
REQ-005,0,Global component system,Passed,,,
REQ-006,0,Responsive design requirements,Passed,,,
REQ-007,0,Accessibility requirements,Passed,,,
REQ-008,0,Data architecture,Passed,,,
REQ-009,0,Local storage and backup,Passed,,,
REQ-010,0,Legacy site integration,Passed,,,
REQ-011,0,Vocabulary migration,Blocked,,,
REQ-012,0,Vocabulary validation,Blocked,,,
REQ-013,1,Diagnostic system,Not Started,,,
REQ-014,1,Mastery model,Not Started,,,
REQ-015,3,Reading academy,Not Started,,,
REQ-016,3,Reading quality gate,Not Started,,,
REQ-017,4,Writing Task 1 academy,Not Started,,,
REQ-018,4,Task 1 exercise types,Not Started,,,
REQ-019,4,Task 1 band comparison lab,Not Started,,,
REQ-020,4,Task 1 quality gate,Not Started,,,
REQ-021,5,Writing Task 2 academy,Not Started,,,
REQ-022,5,Task 2 content targets,Not Started,,,
REQ-023,5,Task 2 quality gate,Not Started,,,
REQ-024,6,Ukrainian-English grammar clinic,Not Started,,,
REQ-025,6,Paraphrasing academy,Not Started,,,
REQ-026,6,Pronunciation lab,Not Started,,,
REQ-027,7,Speaking academy,Not Started,,,
REQ-028,7,Practice Together mode,Not Started,,,
REQ-029,7,Speaking feedback model,Not Started,,,
REQ-030,7,Speaking quality gate,Not Started,,,
REQ-031,8,Listening academy,Not Started,,,
REQ-032,8,Listening error taxonomy,Not Started,,,
REQ-033,9,Error log,Not Started,,,
REQ-034,9,Review queue,Not Started,,,
REQ-035,9,Daily study session generator,Not Started,,,
REQ-036,9,Adaptive recommendation engine,Not Started,,,
REQ-037,9,Adaptive engine validation,Not Started,,,
REQ-038,9,Mock test center,Not Started,,,
REQ-039,9,Progress dashboard,Not Started,,,
REQ-040,9,Study history,Not Started,,,
REQ-041,9,Global search,Not Started,,,
REQ-042,9,Resources,Not Started,,,
REQ-043,9,Content quality rules,Not Started,,,
REQ-044,9,Copyright and source rules,Not Started,,,
REQ-045,0,Requirements ledger,Passed,,,
REQ-046,0,Phase validation loop,Passed,,,
REQ-047,0,Defect priorities,Passed,,,
REQ-048,0,Regression suite,Passed,,,
REQ-049,0,Phase 0 audit and requirements lock,Passed,,,
REQ-050,1,Phase 1 foundation and design system,Passed,,,
REQ-051,2,Phase 2 legacy integration and vocabulary migration,Blocked,,,
REQ-052,3,Phase 3 reading academy,Not Started,,,
REQ-053,4,Phase 4 writing Task 1,Not Started,,,
REQ-054,5,Phase 5 writing Task 2,Not Started,,,
REQ-055,6,"Phase 6 grammar, paraphrasing and pronunciation",Not Started,,,
REQ-056,7,Phase 7 speaking and Together mode,Not Started,,,
REQ-057,8,Phase 8 listening,Not Started,,,
REQ-058,9,"Phase 9 adaptive engine, review and mock center",Not Started,,,
REQ-059,10,Phase 10 final QA and release,Not Started,,,
REQ-060,10,Build progress reporting,Not Started,,,
REQ-061,10,Benchmark dashboard,Not Started,,,
REQ-062,10,Validation through automated inventory,Not Started,,,
REQ-063,10,Final user acceptance flows,Not Started,,,
REQ-064,10,Final release definition of done,Not Started,,,
REQ-065,10,Operating rule for entire build,Not Started,,,
REQ-066,10,Build-cycle roadmap,Not Started,,,
REQ-067,10,Build-cycle graphic model,Not Started,,,
REQ-068,10,Benchmark matrix,Not Started,,,
REQ-069,10,Validation principle,Not Started,,,
REQ-070,10,Final product principle,Not Started,,,
REQ-002A,0,Preserve calm academic presentation,Passed,web/styles.css,Visual token inspection,
REQ-002B,0,Preserve mobile-first continuous scrolling,Passed,web/index.html; web/styles.css,Responsive smoke test,
REQ-002C,1,Implement EN / UA+EN / UA Help without losing state,Passed,web/app.js,test_language_mode_state,
REQ-002D,1,Home prioritizes what to practice next,Passed,web/app.js,test_recommendation_no_data,
REQ-004A,1,Mobile primary navigation exposes five controls,Passed,web/index.html,test_mobile_nav_items,
REQ-005A,1,Reusable UI component primitives,Passed,web/app.js; web/styles.css,component inventory check,
REQ-006A,1,No unintended horizontal overflow at target widths,Passed,tests/responsive_check.py,Playwright passed 320/375/430/768/1024/1440,
REQ-007A,1,Keyboard focus states and semantic controls,Passed,web/styles.css; web/index.html,manual/static accessibility checks,
REQ-008A,1,Learner state schema,Passed,schemas/learner_state.schema.json,jsonschema validation,
REQ-008B,1,Module schema,Passed,schemas/module.schema.json,jsonschema validation,
REQ-008C,1,Exercise schema,Passed,schemas/exercise.schema.json,jsonschema validation,
REQ-009A,1,Local persistence shell,Passed,web/app.js,reload persistence smoke test,
REQ-009B,1,Export learner data JSON,Passed,web/app.js,export format check,
REQ-009C,1,Import validates schema and protects current state,Passed,web/app.js,invalid import smoke test,
REQ-010A,0,Legacy workbook inventory captured,Passed,docs/legacy_content_inventory.csv,inventory reconciliation,
REQ-011A,2,"Migrate exact 1,784 legacy records",Blocked,scripts/migrate_vocabulary.py,expected_count=1784,Raw workbook bytes unavailable to runtime
REQ-012A,2,"1,784 / 1,784 source records accounted for",Blocked,scripts/migrate_vocabulary.py,migration validator,Requires exact workbook bytes
REQ-014A,1,Six mastery levels implemented in state model,Passed,web/app.js; schemas/learner_state.schema.json,mastery constant check,
REQ-033A,1,Error records support required fields,Passed,web/app.js; schemas/learner_state.schema.json,error save smoke test,
REQ-034A,1,Global Review Today shell,Passed,web/app.js,review queue render smoke test,
REQ-035A,1,Time presets 10/20/30/45/60/90,Passed,web/app.js,preset list check,
REQ-036A,1,Recommendations include visible reason,Passed,web/app.js,reason render check,
REQ-041A,1,Global search shell across supported data types,Passed,web/app.js,search smoke test,
REQ-045A,0,Stable IDs retained in requirements ledger,Passed,docs/requirements_ledger.csv,unique ID validation,
REQ-048A,1,Permanent regression checklist established,Passed,docs/regression_checklist.md,manual checklist inspection,
REQ-049A,0,Risk register created,Passed,docs/risk_register.csv,artifact existence,
REQ-050A,1,Responsive shell and design tokens built,Passed,web/styles.css,static + Playwright checks,
