id,word,pos,ua,definitionUa,disposition,category,evidence,confidence,provenance,proposed_target,proposed_value
SB-0001,abolish,v.,скасувати,"Припинення закону, системи, установи, звичаю чи практики.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0003,absence,n.,відсутність,Стан віддаленості або відстороненості від місця чи спілкування,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0006,abundance,n.,достаток,Велика кількість; багато.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0008,academy,n.,академія,Вищий навчальний заклад; коледж або університет; зазвичай приватна школа.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0009,accelerate,v.,прискорити,Змусити рухатися швидше; прискорити рух; щоб збільшити швидкість.,P1,grammar-calque-fragment,"definitionUa ends with dangling purpose-clause fragment 'щоб збільшити швидкість' appended to two finished glosses; grammatically a fragment, not a definition.",high,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,Змусити рухатися швидше; збільшити швидкість.
SB-0010,acceptance,n.,прийняття,"Акт приймання; отримання чогось запропонованого з мовчазною згодою, схваленням або задоволенням; особливо, сприятливий прийом; затвердження.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0012,accomplishment,n.,досягнення,Щось досягнуте; досягнення.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0014,accordingly,adv.,відповідно,У природній послідовності; отже; так.,P1,semantic-pedagogical-error,'accordingly' primary gloss 'У природній послідовності' (in natural sequence) is a dubious archaic sense; core sense 'отже' present.,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,Відповідним чином; отже; таким чином.
SB-0015,accountability,n.,підзвітність,Стан підзвітності; зобов'язання викликати звіт або дати пояснення; зобов'язання нести відповідальність або відповідати за щось.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0016,accountable,adj.,підзвітний,"Зобов'язаний, коли його покличуть, відповідати (за свої вчинки); відповідальний.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0018,accumulation,n.,накопичення,"Акт накопичення або збору, як у купу.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0019,accusation,n.,звинувачення,Акт обвинувачення.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0020,accused,n.,обвинувачений,"Особа, яка обвинувачується у вчиненні правопорушення; фігурант кримінальної справи.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0022,acquisition,n.,придбання,Акт або процес придбання.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0023,acre,n.,акр,"Англійська одиниця площі землі (символ: a. або ac.), яка спочатку позначала денну оранку за ярмо волів, тепер стандартизована як 4840 квадратних ярдів або 4046,86 квадратних метрів.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0024,activation,n.,активація,Робити активними та ефективними; приведення в стан активності.,P1,pos-morphology-mismatch,"noun 'activation' led with an infinitive-verb phrase 'Робити активними та ефективними'; a correct nominal gloss follows, so partial POS inconsistency.",medium,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa,Процес приведення в активний стан; уведення в дію.
SB-0025,activist,n.,активіст,"Той, хто є політично активним у ролі громадянина; особливо той, хто бореться за зміни.",needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
SB-0026,acute,adj.,гострий,інтенсивний; чутливий; різкий.,needs-human,pending-r2-adjudication,No fresh R2 adjudication recorded; the R1 clean disposition is intentionally not inherited.,,R2 intake pending fresh stable-ID review,,
