id,word,pos,source,proposed_target,proposed_value
SB-0026,acute,adj.,reconciled,definitionUa,Інтенсивний; чутливий; різкий.
SB-0030,adjustment,n.,reconciled,definitionUa,Дія регулювання або незначної зміни чогось.
SB-0098,attorney,n.,reconciled,definitionUa,"Юрист, який професійно консультує або представляє інших у правових питаннях."
SB-0107,backdrop,n.,reconciled,definitionUa,"Тло сцени або обставини, на тлі яких відбувається подія."
SB-0112,banner,n.,floor,,
SB-0126,beneficiary,n.,reconciled,definitionUa,"Особа або організація, яка отримує вигоду, виплату чи інше право."
SB-0132,blade,n.,reconciled,definitionUa,"Гостра ріжуча частина ножа, меча, бритви чи іншого інструмента."
SB-0136,bless,v.,reconciled,definitionUa,Просити Божої ласки для когось або освячувати когось чи щось.
SB-0162,capability,n.,reconciled,definitionUa,Здатність або можливість досягти певного результату.
SB-0165,cargo,n.,reconciled,definitionUa,"Товари або речі, які перевозять судном, літаком чи транспортним засобом."
SB-0173,caution,n.,floor,,
SB-0186,citizenship,n.,reconciled,definitionUa,Правовий статус людини як громадянина певної держави.
SB-0187,civic,adj.,reconciled,definitionUa,"Пов’язаний із громадянами, громадою, їхніми правами та обов’язками."
SB-0190,clash,n.,reconciled,definitionUa,"Протистояння або суперечність між різними інтересами, поглядами чи цілями."
SB-0196,coalition,n.,reconciled,definitionUa,"Тимчасовий союз організацій або груп, створений для досягнення спільної мети."
SB-0223,competent,adj.,floor,,
SB-0241,configuration,n.,reconciled,definitionUa,"Взаємне розташування набору речей; спосіб, у який вони розташовані або зібрані."
SB-0252,consecutive,adj.,reconciled,definitionUa,"Такий, що відбувається один за одним без перерви."
SB-0280,coordinate,v.,floor,,
SB-0310,critique,n.,reconciled,definitionUa,"Критичний аналіз або оцінка твору, ідеї чи роботи."
SB-0320,cynical,adj.,reconciled,definitionUa,"Схильний сумніватися в чесності, щирості або мотивах інших."
SB-0359,destructive,adj.,reconciled,definitionUa,"Такий, що руйнує або завдає значної шкоди."
SB-0366,devise,v.,reconciled,definitionUa,"Використовуючи кмітливість, придумувати або розробляти щось."
SB-0377,diplomat,n.,reconciled,definitionUa,"Особа, наприклад посол, офіційно уповноважена представляти уряд у відносинах з іншими державами чи міжнародними організаціями."
SB-0383,disclose,v.,floor,,
SB-0400,disturbing,adj.,reconciled,definitionUa,"Такий, що спричиняє тривогу, занепокоєння або сильний душевний дискомфорт."
SB-0406,dominance,n.,floor,,
SB-0438,empirical,adj.,reconciled,definitionUa,"Такий, що ґрунтується на досвіді або спостереженні, а не лише на теорії."
SB-0442,encouragement,n.,reconciled,definitionUa,"Слова чи дії, які підвищують чиюсь упевненість."
SB-0445,endless,adj.,reconciled,definitionUa,"Такий, що не має кінця; нескінченний."
SB-0461,epidemic,n.,floor,,
SB-0472,exaggerate,v.,reconciled,definitionUa,"Представляти щось більшим, кращим, гіршим або важливішим, ніж воно є насправді."
SB-0492,extremist,n.,reconciled,definitionUa,"Людина, яка дотримується або активно обстоює крайні погляди; радикал."
