id,pass_a_disposition,pass_b_disposition
SB-0001,clean-candidate,clean-candidate
SB-0003,clean-candidate,clean-candidate
SB-0006,clean-candidate,clean-candidate
SB-0008,clean-candidate,clean-candidate
SB-0010,clean-candidate,clean-candidate
SB-0012,clean-candidate,clean-candidate
SB-0016,clean-candidate,clean-candidate
SB-0018,clean-candidate,clean-candidate
SB-0019,clean-candidate,clean-candidate
SB-0020,clean-candidate,clean-candidate
SB-0022,clean-candidate,clean-candidate
SB-0023,clean-candidate,clean-candidate
SB-0025,clean-candidate,clean-candidate
SB-0027,clean-candidate,clean-candidate
SB-0033,clean-candidate,clean-candidate
SB-0035,clean-candidate,clean-candidate
SB-0036,clean-candidate,clean-candidate
SB-0040,clean-candidate,clean-candidate
SB-0041,clean-candidate,clean-candidate
SB-0042,clean-candidate,clean-candidate
SB-0045,clean-candidate,clean-candidate
SB-0053,clean-candidate,clean-candidate
SB-0054,clean-candidate,clean-candidate
SB-0056,clean-candidate,clean-candidate
SB-0059,clean-candidate,clean-candidate
SB-0065,clean-candidate,clean-candidate
SB-0066,clean-candidate,clean-candidate
SB-0071,clean-candidate,clean-candidate
SB-0072,clean-candidate,clean-candidate
SB-0075,clean-candidate,clean-candidate
SB-0076,clean-candidate,clean-candidate
SB-0077,clean-candidate,clean-candidate
SB-0078,clean-candidate,clean-candidate
SB-0083,clean-candidate,clean-candidate
SB-0086,clean-candidate,clean-candidate
SB-0089,clean-candidate,clean-candidate
SB-0091,clean-candidate,clean-candidate
SB-0093,clean-candidate,clean-candidate
SB-0094,clean-candidate,clean-candidate
SB-0095,clean-candidate,clean-candidate
SB-0096,clean-candidate,clean-candidate
SB-0097,clean-candidate,clean-candidate
SB-0101,clean-candidate,clean-candidate
SB-0104,clean-candidate,clean-candidate
SB-0110,clean-candidate,clean-candidate
SB-0113,clean-candidate,clean-candidate
SB-0115,clean-candidate,clean-candidate
SB-0117,clean-candidate,clean-candidate
SB-0120,clean-candidate,clean-candidate
SB-0123,clean-candidate,clean-candidate
SB-0127,clean-candidate,clean-candidate
SB-0138,clean-candidate,clean-candidate
SB-0139,clean-candidate,clean-candidate
SB-0140,clean-candidate,clean-candidate
SB-0143,clean-candidate,clean-candidate
SB-0146,clean-candidate,clean-candidate
SB-0153,clean-candidate,clean-candidate
SB-0160,clean-candidate,clean-candidate
SB-0161,clean-candidate,clean-candidate
SB-0163,clean-candidate,clean-candidate
SB-0168,clean-candidate,clean-candidate
SB-0170,clean-candidate,clean-candidate
SB-0176,clean-candidate,clean-candidate
SB-0178,clean-candidate,clean-candidate
SB-0179,clean-candidate,clean-candidate
SB-0180,clean-candidate,clean-candidate
SB-0181,clean-candidate,clean-candidate
SB-0182,clean-candidate,clean-candidate
SB-0183,clean-candidate,clean-candidate
SB-0185,clean-candidate,clean-candidate
SB-0192,clean-candidate,clean-candidate
SB-0198,clean-candidate,clean-candidate
SB-0200,clean-candidate,clean-candidate
SB-0201,clean-candidate,clean-candidate
SB-0204,clean-candidate,clean-candidate
SB-0206,clean-candidate,clean-candidate
SB-0210,clean-candidate,clean-candidate
SB-0211,clean-candidate,clean-candidate
SB-0212,clean-candidate,clean-candidate
SB-0218,clean-candidate,clean-candidate
SB-0222,clean-candidate,clean-candidate
SB-0232,clean-candidate,clean-candidate
SB-0233,clean-candidate,clean-candidate
SB-0238,clean-candidate,clean-candidate
SB-0239,clean-candidate,clean-candidate
SB-0242,clean-candidate,clean-candidate
