id,word,source,category,severity,issue,proposed_correction,confidence
SB-0038,advocate,main-pass,semantic-fidelity,P0,"'адвокат' is a false friend — in contemporary Ukrainian it specifically means 'lawyer/attorney', not 'a person who publicly supports a cause'. The English 'advocate' (n./v.) in academic/IELTS contexts almost never refers to a legal professional. The definitionUa itself correctly describes the 'support a cause' meaning, contradicting the 'ua' gloss.","Use 'прихильник / поборник (n.)' and 'виступати на захист, пропагувати, обстоювати (v.)' instead of 'адвокат'.",high
SB-0064,amid,main-pass,semantic-fidelity,P0,"The definition is for the chemistry term 'amide' (an organic compound), not for the preposition 'amid' (meaning 'in the middle of/surrounded by'). The 'ua' translation is correct but the definition is for a completely different word.","Replace with: 'Прийменник зі значенням ""серед"", ""посеред"", ""в оточенні"" (чогось), що вказує на перебування в центрі або в процесі чогось.'",high
SB-0068,anonymous,main-pass,grammar,P0,"pos is 'adj.' but 'анонім' is a noun (meaning 'an anonymous person/an anon'), not the adjective. The correct adjective form is 'анонімний'.",Change ua to 'анонімний'.,high
SB-0103,auto,main-pass,semantic-fidelity,P0,'Auto' just means car; definition describes 'an automatic' instead.,Автомобіль (скорочено від automobile).,high
SB-0108,backing,main-pass,semantic-fidelity,P0,"'Підкладка' is physical lining, mismatched with support sense.",підтримка (фінансова),high
SB-0116,bat,main-pass,semantic-fidelity,P0,pos v. (to hit with bat) but ua is animal noun.,відбивати (м'яч битою); бити битою,high
SB-0119,beam,main-pass,semantic-fidelity,P0,'балка' is structural beam; definition is 'a broad smile'.,Align sense.,high
SB-0137,blessing,main-pass,other,P0,"Unrelated colloquial expression, broken text.","Щось хороше, що приносить благо чи щастя.",high
SB-0150,brutal,main-pass,russianism-calque,P0,"'Брутальний' false friend, means rude/coarse in UA not cruel.",жорстокий / звірячий,high
SB-0151,buck,main-pass,semantic-fidelity,P0,'Бакс' is dollar slang; definition is animal sense.,Align translation/definition.,high
SB-0164,capitalist,main-pass,grammar,P0,pos adj. but ua is noun (person).,капіталістичний,high
SB-0207,combat,main-pass,grammar,P0,"pos n.,v. but ua is adjective.",n. бій; v. боротися з.,high
SB-0214,communist,main-pass,grammar,P0,pos adj. but ua is noun.,комуністичний,high
SB-0216,comparable,main-pass,semantic-fidelity,P0,"False friend, means 'comparative'.",порівнянний,high
SB-0225,complement,main-pass,grammar,P0,pos v. but ua is noun.,доповнювати,high
SB-0236,conception,main-pass,semantic-fidelity,P0,Total mismatch: abstract-idea vs biological fertilization.,"Формування ідеї, задуму чи плану в уяві.",high
SB-0256,consistency,main-pass,semantic-fidelity,P0,"'консистенція' = physical texture, false friend for logical consistency.",послідовність; узгодженість,high
SB-0273,contrary,main-pass,grammar,P0,"pos adj.,n. but ua is preposition/adverb.",adj. протилежний; n. протилежне.,high
SB-0304,craft,main-pass,grammar,P0,pos verb but ua is noun.,виготовляти (майстерно); створювати вручну,high
SB-0324,debris,main-pass,semantic-fidelity,P0,ua (garbage) contradicts def (rubble/fragments).,уламки / руїни,high
