id,word,pos,ua,definitionUa,ax_semantic,ax_natural,ax_grammar,ax_pos,ax_register,ax_calque,ax_consistency,ax_pedagogical,ax_ui,disposition,confidence,category,proposed_target,proposed_value,rationale
SB-1439,corporate,word family,корпоративний,Що стосується корпорації.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,corporate → «корпоративний»; definition (relating to a corporation) is accurate; adjective POS matches.
SB-0262,constraint,n.,обмеження,"Те, що стримує; обмеження.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,constraint → «обмеження»; definition (that which restrains; a limitation) is accurate; noun POS matches.
SB-0620,infect,v.,заразити,"Привести (тіло або його частину) в контакт з речовиною, що викликає хворобу (збудником), щоб збудник почав діяти на організм;",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,infect → «заразити»; definition (bring a body into contact with a disease-causing agent) conveys the sense; trailing semicolon trivial.
SB-0628,injustice,n.,несправедливість,Порушення прав іншої людини чи людей.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,injustice → «несправедливість»; definition (violation of another's rights) is accurate; noun POS matches.
SB-1140,subsidy,n.,субсидія,"Фінансова підтримка або допомога, наприклад грант.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"subsidy → «субсидія»; definition (financial support or aid, e.g. a grant) is accurate; noun POS matches."
SB-0127,betray,v.,зраджувати,"Порушити довіру або виявити приховану інформацію, почуття чи справжній характер.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,betray → «зраджувати»; definition (break trust or reveal hidden information/true character) is accurate; verb POS matches.
SB-0464,erect,v.,звести,Збирати шляхом з’єднання матеріалів або частин.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,erect → «звести»; definition (assemble by joining materials or parts) is accurate; verb POS matches.
SB-1370,structure,word family,структура; структурувати,"Згуртоване ціле, що складається з окремих частин.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,structure → «структура; структурувати»; definition (a cohesive whole made of separate parts) conveys the sense; noun+verb pair matches the family.
SB-1374,administration,word family,адміністрування,Акт адміністрування; управління громадськими справами; надані послуги або взяті на себе обов'язки у веденні справ; ведення будь-якої посади чи роботи; напрямок.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,administration → «адміністрування»; definition (the act of administering; management of public affairs) is accurate; noun POS matches.
SB-0359,destructive,adj.,руйнівний,Заподіяння руйнування; завдає шкоди.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,destructive → «руйнівний»; definition (causing destruction; harmful) is accurate; adjective POS matches.
SB-1560,generation,word family,покоління,"Група людей, які народилися в певний період років і члени якої можуть мати культурні стосунки один з одним.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,generation → «покоління»; definition (people born in a certain period sharing cultural ties) is accurate; noun POS matches.
SB-1562,licence,word family,ліцензія,"Офіційний дозвіл на певну діяльність, володіння або використання чогось.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"licence → «ліцензія»; definition (official permission for an activity, possession or use) is accurate; noun POS matches."
SB-0533,functional,adj.,функціональний,"Корисний; служіння меті, виконання функції.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,"functional → «функціональний»; definition (useful; serving a purpose, performing a function) conveys the sense; adjective POS matches."
SB-1120,steer,v.,керувати,"Керувати курсом судна, транспортного засобу, літального апарату тощо (за допомогою такого пристрою, як стерно, весло або штурвал).",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"steer → «керувати»; definition (control the course of a vessel/vehicle/craft via rudder, oar or wheel) is accurate; verb POS matches."
SB-0522,formula,n.,формула,План або метод вирішення проблеми або досягнення результату.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,formula → «формула»; definition (a plan or method to solve a problem or reach a result) is accurate; noun POS matches.
SB-0366,devise,v.,придумати,Використовувати свій інтелект для планування або проектування (щось).,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,devise → «придумати»; definition (use one's intellect to plan or design something) is accurate; verb POS matches.
SB-1101,specimen,n.,зразок,"Окремий екземпляр, який представляє клас; приклад.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,specimen → «зразок»; definition (a single instance representing a class; an example) is accurate; noun POS matches.
SB-1047,secular,adj.,світський,"Не особливо релігійний; світський або цивільний, на відміну від духовного.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,secular → «світський»; definition (not especially religious; worldly/civil vs spiritual) is accurate; adjective POS matches.
SB-0779,mobility,n.,мобільність,Здатність до пересування; здатність до руху.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,mobility → «мобільність»; definition (ability to move or be moved) is accurate; noun POS matches.
SB-1463,partnership,word family,партнерство,Об’єднання двох або більше осіб для ведення бізнесу.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,partnership → «партнерство»; definition (association of two or more persons to run a business) is accurate; noun POS matches.
SB-1345,individual,word family,окремий; індивідуальний; особа,"Людина, яку вважають самотньою, а не приналежною до групи людей.",flag,pass,pass,pass,pass,pass,pass,flag,pass,P2,medium,mistranslation-in-definition,definitionUa,"Людина, яку розглядають окремо, а не як частину групи людей.","individual gloss «окремий; особа» is right, but the definition renders 'considered singly' as «яку вважають самотньою» (considered lonely), which shifts the meaning to loneliness."
SB-0877,plunge,v.,зануритися,"Пірнати, стрибати або кидатися (у воду або якусь рідину); занурюватися.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"plunge → «зануритися»; definition (dive, jump or throw oneself into water/liquid; submerge) is accurate; verb POS matches."
