id,evidence_quote,proposed_target,proposed_value,rationale,confidence
SB-0885,Відноситься до,definitionUa,"Який стосується періоду часу відразу після закінчення війни, коли конфлікт уже закінчився.",Narrow-token/phrase case: 'Відноситься до' is a Russian-pattern calque (рос. 'относится к'); replaced with the adjectival formula 'Який стосується'. The appended 'де є припинення конфлікту' was ungrammatical (relative clause with 'де' misused) so it was recast as a natural subordinate clause 'коли конфлікт уже закінчився'. Rest of definition preserved verbatim.,high
SB-0899,Замовити,definitionUa,Призначати (лікарський засіб або медичний пристрій) для використання конкретним пацієнтом (за ліцензією).,"Narrow-token case: 'Замовити' means 'to order/purchase', not the medical sense of 'prescribe'. Replaced with 'Призначати', matching the accepted ua gloss 'призначати' and the bank's imperfective-verb convention for verb definitions. Nothing else in the sentence altered.",high
SB-0907,Здатний бути розумно припущеним,definitionUa,"Ймовірно, наскільки можна обґрунтовано припустити.","Whole-definition case: the entire original text ('capable of being reasonably presumed') defines the adjective 'presumable', not the adverb 'presumably'. A full rewrite to an adverbial predicate was required since the POS mismatch affects the whole sentence, not an isolated token. New value aligns with the accepted ua gloss 'мабуть'.",high
SB-1003,мати постійне місце проживання на час,definitionUa,Проживати постійно або на тривалий час; мати постійне місце проживання; залишатися надовго.,Narrow-token case: 'постійне ... на час' is self-contradictory ('permanent' vs 'for a time'). Removed only the contradictory 'на час' qualifier; the surrounding three-clause structure and the other two clauses are preserved exactly.,high
SB-1048,Як з'являється,definitionUa,Як видається; мабуть.,"Narrow-token case: 'з'являтися' means 'to physically appear/show up', a false-friend calque of the sense needed here. Replaced with 'як видається', the idiomatic Ukrainian equivalent of 'as it seems'. Trailing '; мабуть.' left untouched.",high
SB-1111,зазвичай із десяти членів,definitionUa,"Група людей, організована для якоїсь спільної мети.","Narrow-token case: the claim that a squad 'usually' has ten members is over-specific and not true across military (varies ~8-13) or nonmilitary (sports/work 'squad') senses, so the false numeric qualifier was dropped, leaving the accurate general clause intact. REVIEWER NOTE: the ua gloss 'загін' carries a mainly military/paramilitary connotation in Ukrainian and may read oddly for nonmilitary senses of 'squad' (e.g. a sports squad); this was not part of the recorded defect and is left for separate review.",medium
SB-1149,слідує за іншою у займанні посади чи титулу,definitionUa,"Особа або річ, яка безпосередньо змінює іншу на посаді чи титулі.","Narrow-token/phrase case: 'слідує за... у займанні посади' is a clunky bureaucratic calque of 'follows... in occupying a position'. Replaced with the idiomatic nominal construction 'безпосередньо змінює іншу на посаді чи титулі' ('directly succeeds/replaces another in a position or title'), matching the noun-definition convention. Opening 'Особа або річ, яка' preserved verbatim.",high
SB-1168,особливо в полоні; подати або поступитися,definitionUa,"Віддатися у владу іншого, особливо потрапляючи в полон; піддатися або поступитися.","Narrow-token/phrase case: 'особливо в полоні' (manner clause 'especially in captivity') was ungrammatical as attached; recast as 'особливо потрапляючи в полон' ('especially by falling into captivity'). 'подати' does not mean 'to submit/give way' in Ukrainian (its primary sense is 'to hand in/serve a document'); corrected to 'піддатися'. Opening clause 'Віддатися у владу іншого' preserved verbatim. REVIEWER NOTE: 'Віддатися' is perfective, while this bank's stated convention is imperfective verbal predicates for verb definitions (cf. accepted ua gloss 'здатися', also perfective); this aspect mismatch predates and is separate from the recorded defect, so it was left unchanged and flagged for separate review.",medium
SB-1171,Дія підозрювати,definitionUa,"Підозрювання когось або чогось, особливо у чомусь поганому.","Narrow-token/phrase case: 'Дія підозрювати' (noun 'дія' + bare infinitive) is ungrammatical; replaced with the nominalized verb 'Підозрювання', matching the noun-definition convention. 'в чомусь недобре' paired a preposition with an adverb instead of an adjective; corrected to 'у чомусь поганому'. Sentence structure otherwise preserved.",high
SB-1247,студент,ua,студент бакалаврату,"Cross-field case: definitionUa ('Студент університету, який ще не отримав наукового ступеня') already carries the correct, precise 'undergraduate' meaning and was left untouched per the rule against rewriting the field already carrying the correct, more precise meaning. The ua gloss 'студент' is broader (covers graduate/PhD students too) and is the field responsible for the inconsistency, so it was narrowed to 'студент бакалаврату', the natural contemporary Ukrainian term for an undergraduate student.",medium
