id,bucket,source,disposition,category,headword,pos,ua,definitionUa,rationale,confidence,reviewer_agree
SB-0001,d_clean,clean-pool,clean,,abolish,v.,скасувати,"Припинення закону, системи, установи, звичаю чи практики.",,medium,
SB-0003,d_clean,clean-pool,clean,,absence,n.,відсутність,Стан віддаленості або відстороненості від місця чи спілкування,,medium,
SB-0006,d_clean,clean-pool,clean,,abundance,n.,достаток,Велика кількість; багато.,,medium,
SB-0008,d_clean,clean-pool,clean,,academy,n.,академія,Вищий навчальний заклад; коледж або університет; зазвичай приватна школа.,,medium,
SB-0009,c_known_open,known-open-confirmation,P1,grammar-calque-fragment,accelerate,v.,прискорити,Змусити рухатися швидше; прискорити рух; щоб збільшити швидкість.,"definitionUa ends with dangling purpose-clause fragment 'щоб збільшити швидкість' appended to two finished glosses; grammatically a fragment, not a definition.",high,True
SB-0010,d_clean,clean-pool,clean,,acceptance,n.,прийняття,"Акт приймання; отримання чогось запропонованого з мовчазною згодою, схваленням або задоволенням; особливо, сприятливий прийом; затвердження.",,medium,
SB-0012,d_clean,clean-pool,clean,,accomplishment,n.,досягнення,Щось досягнуте; досягнення.,,medium,
SB-0014,d_clean,new-finding,P2,semantic-pedagogical-error,accordingly,adv.,відповідно,У природній послідовності; отже; так.,'accordingly' primary gloss 'У природній послідовності' (in natural sequence) is a dubious archaic sense; core sense 'отже' present.,low,
SB-0015,d_clean,clean-pool,clean,,accountability,n.,підзвітність,Стан підзвітності; зобов'язання викликати звіт або дати пояснення; зобов'язання нести відповідальність або відповідати за щось.,,medium,
SB-0016,d_clean,clean-pool,clean,,accountable,adj.,підзвітний,"Зобов'язаний, коли його покличуть, відповідати (за свої вчинки); відповідальний.",,medium,
SB-0018,d_clean,clean-pool,clean,,accumulation,n.,накопичення,"Акт накопичення або збору, як у купу.",,medium,
SB-0019,d_clean,clean-pool,clean,,accusation,n.,звинувачення,Акт обвинувачення.,,medium,
SB-0020,d_clean,clean-pool,clean,,accused,n.,обвинувачений,"Особа, яка обвинувачується у вчиненні правопорушення; фігурант кримінальної справи.",,medium,
SB-0022,d_clean,clean-pool,clean,,acquisition,n.,придбання,Акт або процес придбання.,,medium,
SB-0023,d_clean,clean-pool,clean,,acre,n.,акр,"Англійська одиниця площі землі (символ: a. або ac.), яка спочатку позначала денну оранку за ярмо волів, тепер стандартизована як 4840 квадратних ярдів або 4046,86 квадратних метрів.",,medium,
SB-0024,d_clean,new-finding,P2,pos-morphology-mismatch,activation,n.,активація,Робити активними та ефективними; приведення в стан активності.,"noun 'activation' led with an infinitive-verb phrase 'Робити активними та ефективними'; a correct nominal gloss follows, so partial POS inconsistency.",medium,
SB-0025,d_clean,clean-pool,clean,,activist,n.,активіст,"Той, хто є політично активним у ролі громадянина; особливо той, хто бореться за зміни.",,medium,
SB-0026,d_clean,clean-pool,clean,,acute,adj.,гострий,інтенсивний; чутливий; різкий.,,medium,
SB-0027,d_clean,clean-pool,clean,,adaptation,n.,адаптація,"Процес адаптації чогось або пристосування до ситуації; коригування, модифікація.",,medium,
SB-0030,d_clean,clean-pool,clean,,adjustment,n.,коригування,Дія регулювання чогось,,medium,
SB-0033,d_clean,clean-pool,clean,,administrator,n.,адміністратор,"Той, хто веде справи; той, хто скеровує, керує, виконує або розпоряджається, чи то в цивільних, судових, політичних чи церковних справах; менеджер.",,medium,
SB-0035,d_clean,clean-pool,clean,,adolescent,n.,підліток,"Людина, яка перебуває в підлітковому віці; хтось, хто досяг статевої зрілості, але ще не дорослий.",,medium,
SB-0036,d_clean,clean-pool,clean,,adoption,n.,усиновлення,Стан усиновлення; прийняття дитини інших батьків як власної дитини.,,medium,
SB-0039,d_clean,clean-pool,clean,,aesthetic,adj.,естетичний,"Стурбований красою, художнім ефектом або зовнішнім виглядом.",,medium,
SB-0040,d_clean,clean-pool,clean,,affection,n.,прихильність,Почуття любові або сильної прихильності.,,medium,
SB-0041,d_clean,clean-pool,clean,,aftermath,n.,наслідки (переважно негативні),"Те, що відбувається після, те, що слідує, зазвичай має яскраво негативний відтінок у більшості контекстів, натякаючи на попередню катастрофу.",,medium,
SB-0042,d_clean,clean-pool,clean,,aggression,n.,агресія,Ворожа чи деструктивна поведінка чи дії.,,medium,
SB-0043,d_clean,clean-pool,clean,,agricultural,adj.,сільськогосподарський,Сільське господарство або пов'язане з ним.,,medium,
SB-0045,d_clean,clean-pool,clean,,albeit,conj.,хоча,"Сполучник зі значенням «хоча» або «незважаючи на те, що».",,medium,
SB-0047,d_clean,clean-pool,clean,,alien,adj.,чужий,"Не належать до тієї самої країни, землі чи уряду, чи до їхніх громадян чи підданих; іноземні.",,medium,
SB-0048,d_clean,clean-pool,clean,,align,v.,вирівняти,Підлаштовуватися під лінію; діапазон або форму в лінію; привести у відповідність.,,medium,
SB-0053,d_clean,clean-pool,clean,,allegedly,adv.,нібито,За чиїмось твердженням.,,medium,
SB-0054,d_clean,clean-pool,clean,,alliance,n.,альянс,"Союз або зв’язок інтересів між сім’ями, державами, партіями тощо, особливо між сім’ями за шлюбом і державами за договором, угодою чи союзом.",,medium,
SB-0055,d_clean,clean-pool,clean,,allocate,v.,виділити,Відкладати для певної мети.,,medium,
SB-0056,d_clean,clean-pool,clean,,allocation,n.,виділення,"Процес або процедура розподілу речей, особливо грошей або інших ресурсів.",,medium,
SB-0058,c_known_open,known-open-confirmation,P1,pos-morphology-mismatch,ally,n.,союзник,"Людина, яка співпрацює або допомагає іншому; асоційований; друг.","For noun 'ally', gloss includes adjective/participle 'асоційований' as a synonym; POS mismatch.",medium,genuine-defect-milder-severity
SB-0059,d_clean,clean-pool,clean,,aluminium,n.,алюміній,"Легкий сріблястий метал, що добувається з бокситів, і хімічний елемент (символ Al) з атомним номером 13.",,medium,
SB-0060,d_clean,clean-pool,clean,,amateur,"adj., n.",любитель,"Людина, прив’язана до певної діяльності, навчання, науки чи мистецтва (наприклад, музики чи живопису), особливо та, яка розвиває будь-які дослідження, інтереси, смаки чи прихильності, не займаючись цим професійно.",,medium,
